MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/StdReturn
159,524.4331606706731,39,1.0,524.4331606706731,159,758.0642584774774,1.0,357881,157.67130556128345,233.1872802489212,758.0642584774774,233.1872802489212,524.4331606706731,524.4331606706731,39,157.67130556128345
126,644.7816692702228,40,1.0,644.7816692702229,126,852.2829430101441,1.0,365995,94.81678035690803,319.853135958916,852.2829430101441,319.853135958916,644.7816692702228,644.7816692702229,40,94.81678035690803
121,675.9351301759723,41,1.0,675.9351301759723,121,1001.8533163000089,1.0,374061,85.40594376007505,529.019967212799,1001.8533163000089,529.019967212799,675.9351301759723,675.9351301759723,41,85.40594376007505
121,658.2064583026146,42,1.0,658.2064583026145,121,1008.4258501933467,1.0,382654,91.19190688649944,365.8194289577436,1008.4258501933467,365.8194289577436,658.2064583026146,658.2064583026145,42,91.19190688649944
130,593.628529334792,43,1.0,593.6285293347919,130,1256.9168967903117,1.0,391018,120.32613763740929,278.8510320966076,1256.9168967903117,278.8510320966076,593.628529334792,593.6285293347919,43,120.32613763740929
136,549.852159262995,44,1.0,549.852159262995,136,1218.1838576569974,1.0,398943,179.28760339384763,230.90616910448165,1218.1838576569974,230.90616910448165,549.852159262995,549.852159262995,44,179.28760339384763
179,387.5482822485727,45,1.0,387.5482822485727,179,979.0786504522339,1.0,406951,157.15336804766284,35.710676187552075,979.0786504522339,35.710676187552075,387.5482822485727,387.5482822485727,45,157.15336804766284
160,443.6875338560234,46,1.0,443.6875338560234,160,1448.3063468802363,1.0,415664,247.1579561125565,152.88608779522252,1448.3063468802363,152.88608779522252,443.6875338560234,443.6875338560234,46,247.1579561125565
197,344.69442162509677,47,1.0,344.69442162509677,197,978.2388621228974,1.0,424410,149.26934129778837,38.69392094831821,978.2388621228974,38.69392094831821,344.69442162509677,344.69442162509677,47,149.26934129778837
159,458.09781514691446,48,1.0,458.0978151469144,159,968.1897248867034,1.0,433343,213.32423451114818,34.69331189218832,968.1897248867034,34.69331189218832,458.09781514691446,458.0978151469144,48,213.32423451114818
149,502.92402155571125,49,1.0,502.92402155571125,149,1875.015169347568,1.0,441288,324.9477503083481,40.46923542789985,1875.015169347568,40.46923542789985,502.92402155571125,502.92402155571125,49,324.9477503083481
143,520.6544808675419,50,1.0,520.6544808675419,143,1239.9805086919243,1.0,450876,205.6058637641258,221.20927822413196,1239.9805086919243,221.20927822413196,520.6544808675419,520.6544808675419,50,205.6058637641258
103,777.198289843208,51,1.0,777.1982898432082,103,1707.6715637478526,1.0,459770,279.1581848527343,117.29255354797371,1707.6715637478526,117.29255354797371,777.198289843208,777.1982898432082,51,279.1581848527343
