MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/AverageDiscountedReturn
50,268.156648824975,139.44089714753736,1.0,192,268.156648824975,460069,2.0555881856803095,268.156648824975,139.44089714753736,50,759.3534976343452,759.3534976343452,1.0,2.0555881856803095,192,268.156648824975
51,227.29298637514867,114.21619153368358,1.0,199,227.29298637514867,467772,8.086097073951636,227.29298637514867,114.21619153368358,51,894.6146386978218,894.6146386978218,1.0,8.086097073951636,199,227.29298637514867
52,257.6807758962654,127.36593999617394,1.0,191,257.68077589626535,475593,9.988647356869203,257.6807758962654,127.36593999617394,52,871.2382829373486,871.2382829373486,1.0,9.988647356869203,191,257.68077589626535
53,257.01958128472216,138.40720172168545,1.0,193,257.01958128472216,483212,1.2585450534068077,257.01958128472216,138.40720172168545,53,822.8975379083245,822.8975379083245,1.0,1.2585450534068077,193,257.01958128472216
54,251.7501732892998,118.36080597389576,1.0,194,251.75017328929974,491650,6.6418899274213565,251.7501732892998,118.36080597389576,54,675.0705513436304,675.0705513436304,1.0,6.6418899274213565,194,251.75017328929974
55,245.66529641143325,116.03639138561118,1.0,190,245.66529641143325,500044,-7.274840574404329,245.66529641143325,116.03639138561118,55,795.6756278203311,795.6756278203311,1.0,-7.274840574404329,190,245.66529641143325
56,281.52117040558943,140.18700334543317,1.0,179,281.52117040558943,507405,8.271716454610829,281.52117040558943,140.18700334543317,56,837.3666260328815,837.3666260328815,1.0,8.271716454610829,179,281.52117040558943
57,271.10366254840187,127.24826743405981,1.0,189,271.1036625484019,515628,20.186833562099242,271.10366254840187,127.24826743405981,57,926.0114525706063,926.0114525706063,1.0,20.186833562099242,189,271.1036625484019
58,252.373444416019,134.90530474777844,1.0,201,252.373444416019,523374,-5.0743579530136165,252.373444416019,134.90530474777844,58,706.3297164087552,706.3297164087552,1.0,-5.0743579530136165,201,252.373444416019
59,286.4439923054423,124.9031706387547,1.0,181,286.4439923054423,531007,6.398099463979139,286.4439923054423,124.9031706387547,59,637.3658814691894,637.3658814691894,1.0,6.398099463979139,181,286.4439923054423
60,291.1368705416031,133.2417286233577,1.0,183,291.1368705416031,538731,-0.9067569073310212,291.1368705416031,133.2417286233577,60,929.360486966434,929.360486966434,1.0,-0.9067569073310212,183,291.1368705416031
61,309.0152387630332,135.02149784781957,1.0,172,309.0152387630332,546473,-35.75526555110961,309.0152387630332,135.02149784781957,61,796.9270450431253,796.9270450431253,1.0,-35.75526555110961,172,309.0152387630332
62,304.90912928390156,116.69234125954826,1.0,169,304.90912928390156,554221,21.379866239964397,304.90912928390156,116.69234125954826,62,650.1112053427865,650.1112053427865,1.0,21.379866239964397,169,304.90912928390156
63,296.904458012613,145.47383974849663,1.0,172,296.904458012613,562467,-0.8482325143468651,296.904458012613,145.47383974849663,63,925.7422777137357,925.7422777137357,1.0,-0.8482325143468651,172,296.904458012613
64,321.05335461231675,140.2832165584629,1.0,162,321.05335461231675,570361,-0.18421431256140464,321.05335461231675,140.2832165584629,64,807.9428672475057,807.9428672475057,1.0,-0.18421431256140464,162,321.05335461231675
65,335.67128924699205,158.72702020362,1.0,162,335.67128924699205,578460,40.97228110184418,335.67128924699205,158.72702020362,65,940.2930877469141,940.2930877469141,1.0,40.97228110184418,162,335.67128924699205
66,307.706396362679,112.65005692390696,1.0,164,307.706396362679,586679,-22.7238863774096,307.706396362679,112.65005692390696,66,628.2175268717408,628.2175268717408,1.0,-22.7238863774096,164,307.706396362679
67,331.95464053736436,133.47822530358266,1.0,164,331.95464053736436,594235,-1.281607044816937,331.95464053736436,133.47822530358266,67,815.5637408581184,815.5637408581184,1.0,-1.281607044816937,164,331.95464053736436
68,329.9674972500266,164.2616473264947,1.0,166,329.9674972500266,602190,17.70887463448215,329.9674972500266,164.2616473264947,68,1115.4725689193594,1115.4725689193594,1.0,17.70887463448215,166,329.9674972500266
69,316.80633469220544,127.00906400035016,1.0,166,316.80633469220544,610211,21.984925332119797,316.80633469220544,127.00906400035016,69,670.3237632143557,670.3237632143557,1.0,21.984925332119797,166,316.80633469220544
