MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/StdReturn,TotalEnvSteps,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate
243.3250685401148,65.09941628059941,132355,256,65.09941628059941,318.42093980656654,318.42093980656654,10,1.0,243.3250685401148,243.3250685401148,243.3250685401148,256,10,72.35694454816039,72.35694454816039,1.0
221.67920597665702,16.960096119800884,139938,271,16.960096119800884,266.70757752036246,266.70757752036246,11,1.0,221.67920597665702,221.67920597665702,221.67920597665702,271,11,165.28983269350098,165.28983269350098,1.0
226.68766957465715,6.103859847672726,147523,253,6.103859847672726,250.5221772591489,250.5221772591489,12,1.0,226.68766957465718,226.68766957465715,226.68766957465718,253,12,207.64391466420898,207.64391466420898,1.0
253.64596178124202,28.28905161910356,155037,246,28.28905161910356,343.57616009770305,343.57616009770305,13,1.0,253.64596178124202,253.64596178124202,253.64596178124202,246,13,135.62918007683558,135.62918007683558,1.0
293.75295351117376,27.262716100330135,162376,227,27.262716100330135,327.3037609884399,327.3037609884399,14,1.0,293.75295351117376,293.75295351117376,293.75295351117376,227,14,43.145013962991015,43.145013962991015,1.0
342.6320067914561,14.166035808309156,169861,208,14.166035808309156,362.7270481456392,362.7270481456392,15,1.0,342.632006791456,342.6320067914561,342.632006791456,208,15,189.646871833099,189.646871833099,1.0
345.59570284348735,39.392342014931444,177375,209,39.392342014931444,515.4544201452483,515.4544201452483,16,1.0,345.59570284348735,345.59570284348735,345.59570284348735,209,16,143.22950852417088,143.22950852417088,1.0
233.31492156441917,64.07673518036815,184967,259,64.07673518036815,472.6126927936783,472.6126927936783,17,1.0,233.31492156441917,233.31492156441917,233.31492156441917,259,17,135.98440873045982,135.98440873045982,1.0
221.16756852051483,60.87936645944257,192435,269,60.87936645944257,413.5503106864904,413.5503106864904,18,1.0,221.16756852051483,221.16756852051483,221.16756852051483,269,18,115.1651827465261,115.1651827465261,1.0
367.8711377576038,67.92654286018744,199907,197,67.92654286018744,633.4474524882369,633.4474524882369,19,1.0,367.8711377576038,367.8711377576038,367.8711377576038,197,19,127.81328542440092,127.81328542440092,1.0
374.4375826430091,41.19041246189131,207761,200,41.19041246189131,564.9781543111102,564.9781543111102,20,1.0,374.4375826430091,374.4375826430091,374.4375826430091,200,20,291.85338685378235,291.85338685378235,1.0
411.77699989772884,65.77338455645305,215430,191,65.77338455645305,732.3397298976245,732.3397298976245,21,1.0,411.77699989772884,411.77699989772884,411.77699989772884,191,21,147.73526897789074,147.73526897789074,1.0
435.3803436187969,53.89096118677001,223249,194,53.89096118677001,614.859517096485,614.859517096485,22,1.0,435.38034361879687,435.3803436187969,435.38034361879687,194,22,293.65607319985367,293.65607319985367,1.0
515.2889382845824,222.93084554131795,231026,159,222.93084554131795,1347.3001464858646,1347.3001464858646,23,1.0,515.2889382845824,515.2889382845824,515.2889382845824,159,23,165.2841734327712,165.2841734327712,1.0
188.65355150732495,160.77281713041856,238594,284,160.77281713041856,1527.4621503514622,1527.4621503514622,24,1.0,188.65355150732495,188.65355150732495,188.65355150732495,284,24,127.94725434297662,127.94725434297662,1.0
102.5614453920729,27.46860705935308,246458,317,27.46860705935308,186.3581273095212,186.3581273095212,25,1.0,102.5614453920729,102.5614453920729,102.5614453920729,317,25,43.8975946609786,43.8975946609786,1.0
370.87069966107373,184.75957298642933,253908,177,184.75957298642933,1410.5482408806706,1410.5482408806706,26,1.0,370.87069966107373,370.87069966107373,370.87069966107373,177,26,217.63864382858742,217.63864382858742,1.0
481.70692716147346,149.1324865500785,262008,154,149.1324865500785,1193.7087933260825,1193.7087933260825,27,1.0,481.70692716147346,481.70692716147346,481.70692716147346,154,27,123.6391250540073,123.6391250540073,1.0
311.43152842919295,152.45510120861806,269800,217,152.45510120861806,802.3291775515233,802.3291775515233,28,1.0,311.43152842919307,311.43152842919295,311.43152842919307,217,28,95.40864782541958,95.40864782541958,1.0
