MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/Average/MaxReturn
172,55,136.55504045964224,136.55504045964224,695.8604451679641,278.82594938434033,278.82594938434033,4.186396733704175,1.0,4.186396733704175,55,278.82594938434033,172,278.82594938434033,1.0,502583,695.8604451679641
170,56,122.83189113619846,122.83189113619846,556.1301963200759,273.722208507866,273.722208507866,8.54827913754177,1.0,8.54827913754177,56,273.722208507866,170,273.722208507866,1.0,510488,556.1301963200759
169,57,212.59490553311628,212.59490553311628,1353.7124234238206,325.4940332084509,325.4940332084509,8.059864843031013,1.0,8.059864843031013,57,325.4940332084509,169,325.4940332084509,1.0,518207,1353.7124234238206
186,58,154.7260590743102,154.7260590743102,720.1170036001978,290.30404726309246,290.30404726309246,2.923790174540832,1.0,2.923790174540832,58,290.30404726309246,186,290.30404726309246,1.0,526194,720.1170036001978
159,59,169.74988072046656,169.74988072046656,710.1195448742336,318.186547644005,318.18654764400503,-29.301460459073134,1.0,-29.301460459073134,59,318.18654764400503,159,318.186547644005,1.0,534079,710.1195448742336
156,60,192.0308786963766,192.0308786963766,823.3716678391373,290.7418898201725,290.7418898201725,6.26395666519142,1.0,6.26395666519142,60,290.7418898201725,156,290.7418898201725,1.0,542007,823.3716678391373
186,61,172.14601199033623,172.14601199033623,870.825101229443,301.4497308796858,301.4497308796858,9.790681315697185,1.0,9.790681315697185,61,301.4497308796858,186,301.4497308796858,1.0,549642,870.825101229443
191,62,165.16362174672,165.16362174672,825.7449495423467,322.2942043801609,322.29420438016086,21.192345572818407,1.0,21.192345572818407,62,322.29420438016086,191,322.2942043801609,1.0,557609,825.7449495423467
181,63,191.62649057061793,191.62649057061793,832.9825165668734,282.2270820901279,282.2270820901279,-41.98017542662317,1.0,-41.98017542662317,63,282.2270820901279,181,282.2270820901279,1.0,565772,832.9825165668734
181,64,218.19642464592133,218.19642464592133,1208.2439886749564,309.8235683264166,309.82356832641653,-31.090259362431752,1.0,-31.090259362431752,64,309.82356832641653,181,309.8235683264166,1.0,573746,1208.2439886749564
