MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/AverageReturn
170,340.6817261419061,140160,1.0,10,10,170,340.6817261419061,-60.35104763156041,102.22557842702525,102.22557842702525,-60.35104763156041,102.22557842702525,80.6282346788139,80.6282346788139,1.0,102.22557842702525
203,407.22967674739095,148129,1.0,11,11,203,407.22967674739095,-36.66475096376458,135.10194400002348,135.10194400002348,-36.66475096376458,135.10194400002348,75.00351999904046,75.00351999904046,1.0,135.10194400002348
181,572.6772869213355,156199,1.0,12,12,181,572.6772869213355,-98.19004189739589,118.96212984899336,118.96212984899334,-98.19004189739589,118.96212984899336,121.3471949614377,121.3471949614377,1.0,118.96212984899334
153,624.7506856486862,165159,1.0,13,13,153,624.7506856486862,-51.886093666994846,159.14303193102884,159.14303193102884,-51.886093666994846,159.14303193102884,124.93988344798952,124.93988344798952,1.0,159.14303193102884
153,618.550371605765,174081,1.0,14,14,153,618.550371605765,-64.29258763750634,196.38469480927287,196.3846948092729,-64.29258763750634,196.38469480927287,133.13578445755317,133.13578445755317,1.0,196.3846948092729
150,607.287642234763,182236,1.0,15,15,150,607.287642234763,-103.84760099077124,200.43459421509255,200.43459421509252,-103.84760099077124,200.43459421509255,140.1831890218912,140.1831890218912,1.0,200.43459421509252
164,720.0462180009741,190039,1.0,16,16,164,720.0462180009741,-14.987758234681031,216.85727111948245,216.85727111948245,-14.987758234681031,216.85727111948245,109.57485836719964,109.57485836719964,1.0,216.85727111948245
178,600.1290171651971,198688,1.0,17,17,178,600.1290171651971,-21.354440276196407,260.01433225105404,260.01433225105393,-21.354440276196407,260.01433225105404,103.4587368383276,103.4587368383276,1.0,260.01433225105393
174,565.0879517211932,206815,1.0,18,18,174,565.0879517211932,-135.59681745802123,215.74478328301475,215.74478328301475,-135.59681745802123,215.74478328301475,114.41593943430013,114.41593943430013,1.0,215.74478328301475
145,601.7164828748294,214849,1.0,19,19,145,601.7164828748294,-73.0600393628891,200.6961243512119,200.6961243512119,-73.0600393628891,200.6961243512119,131.06989324240195,131.06989324240195,1.0,200.6961243512119
178,513.0403535800157,223334,1.0,20,20,178,513.0403535800157,-49.68910421554634,210.365031003949,210.365031003949,-49.68910421554634,210.365031003949,93.49510768328751,93.49510768328751,1.0,210.365031003949
184,521.5132936136504,231202,1.0,21,21,184,521.5132936136504,-9.944615816119857,225.36487022895236,225.36487022895236,-9.944615816119857,225.36487022895236,94.1578019937369,94.1578019937369,1.0,225.36487022895236
155,708.5436548698893,239209,0.9935483870967742,22,22,155,708.5436548698893,11.255455761176094,251.1425580087961,251.1425580087961,11.255455761176094,251.1425580087961,118.33270181926213,118.33270181926213,0.9935483870967742,251.1425580087961
148,712.3336065504734,247817,1.0,23,23,148,712.3336065504734,-67.85010776170427,245.34140878276756,245.34140878276762,-67.85010776170427,245.34140878276756,137.33868294798353,137.33868294798353,1.0,245.34140878276762
146,670.4405250499611,256214,1.0,24,24,146,670.4405250499611,-58.98725565451206,222.00987126287612,222.00987126287606,-58.98725565451206,222.00987126287612,147.69591292991623,147.69591292991623,1.0,222.00987126287606
152,761.1967930172622,264727,1.0,25,25,152,761.1967930172622,-62.49683003024129,222.50447902944967,222.5044790294496,-62.49683003024129,222.50447902944967,137.99481091360116,137.99481091360116,1.0,222.5044790294496
108,854.005474792768,272834,0.9907407407407407,26,26,108,854.005474792768,-221.85769827059661,240.32527684342574,240.32527684342574,-221.85769827059661,240.32527684342574,194.49302001567116,194.49302001567116,0.9907407407407407,240.32527684342574
134,778.5836330444113,284016,1.0,27,27,134,778.5836330444113,-56.45874934625402,209.9627183829495,209.9627183829495,-56.45874934625402,209.9627183829495,153.8900674873794,153.8900674873794,1.0,209.9627183829495
