MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,TotalEnvSteps,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/NumEpisodes
3674.518480924378,2432.7871468414237,11,0.0,258.12778409475186,3166.154390674654,3674.518480924378,2432.7871468414237,25,0.0,3166.1543906746538,3166.1543906746538,170000,11,3166.154390674654,258.12778409475186,25
4334.413315311374,711.1395745269007,12,0.0,698.532875973464,3293.8054770184244,4334.413315311374,711.1395745269007,25,0.0,3293.805477018426,3293.805477018426,180000,12,3293.8054770184244,698.532875973464,25
4347.917592792424,3199.6106372024924,13,0.0,315.2483765639479,3761.227084401566,4347.917592792424,3199.6106372024924,25,0.0,3761.2270844015648,3761.2270844015648,190000,13,3761.227084401566,315.2483765639479,25
4822.674319049269,1658.6201621717298,14,0.0,605.3544182933124,4081.271349318397,4822.674319049269,1658.6201621717298,25,0.0,4081.271349318397,4081.271349318397,200000,14,4081.271349318397,605.3544182933124,25
5148.543598247864,1987.734583524179,15,0.0,755.9865501189028,4143.995058978988,5148.543598247864,1987.734583524179,25,0.0,4143.995058978987,4143.995058978987,210000,15,4143.995058978988,755.9865501189028,25
5089.840464589726,4204.374763047128,16,0.0,231.9422032989404,4699.469157635848,5089.840464589726,4204.374763047128,25,0.0,4699.469157635846,4699.469157635846,220000,16,4699.469157635848,231.9422032989404,25
5542.318924015285,4352.187213501401,17,0.0,314.0085590551778,5035.3611273373135,5542.318924015285,4352.187213501401,25,0.0,5035.361127337313,5035.361127337313,230000,17,5035.3611273373135,314.0085590551778,25
5425.70029035404,2592.7185823632135,18,0.0,540.056524124191,4913.3603919221405,5425.70029035404,2592.7185823632135,25,0.0,4913.360391922141,4913.360391922141,240000,18,4913.3603919221405,540.056524124191,25
6029.766900116026,2884.7753570983573,19,0.0,668.4038537649676,5141.890171494433,6029.766900116026,2884.7753570983573,25,0.0,5141.890171494434,5141.890171494434,250000,19,5141.890171494433,668.4038537649676,25
6326.8391505344325,1479.9738384980062,20,0.0,1162.7133640492807,5070.88652168029,6326.8391505344325,1479.9738384980062,25,0.0,5070.886521680289,5070.886521680289,260000,20,5070.88652168029,1162.7133640492807,25
6239.73737034584,-125.42258058673364,21,0.0,1472.752152012125,5146.291357706304,6239.73737034584,-125.42258058673364,25,0.0,5146.291357706304,5146.291357706304,270000,21,5146.291357706304,1472.752152012125,25
6844.866608895401,4933.6471349084595,22,0.0,477.0813218815157,5707.9434273173965,6844.866608895401,4933.6471349084595,25,0.0,5707.9434273173965,5707.9434273173965,280000,22,5707.9434273173965,477.0813218815157,25
6650.431439265417,1755.897069470936,23,0.0,933.614412192937,5686.706110686139,6650.431439265417,1755.897069470936,25,0.0,5686.706110686139,5686.706110686139,290000,23,5686.706110686139,933.614412192937,25
7088.23716608864,1381.0436281969085,24,0.0,1246.2911735925115,5593.352375937091,7088.23716608864,1381.0436281969085,25,0.0,5593.35237593709,5593.35237593709,300000,24,5593.352375937091,1246.2911735925115,25
7145.600785262267,3869.0779405073013,25,0.0,676.8379826833954,5992.959825554389,7145.600785262267,3869.0779405073013,25,0.0,5992.959825554389,5992.959825554389,310000,25,5992.959825554389,676.8379826833954,25
7049.08692279822,1689.6415180252852,26,0.0,1021.810152475916,6095.162945140457,7049.08692279822,1689.6415180252852,25,0.0,6095.162945140457,6095.162945140457,320000,26,6095.162945140457,1021.810152475916,25
7298.59246933488,3109.8983544909706,27,0.0,852.8901307901916,6280.818437769714,7298.59246933488,3109.8983544909706,25,0.0,6280.8184377697135,6280.8184377697135,330000,27,6280.818437769714,852.8901307901916,25
