MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MaxReturn
291.8668152297767,141554,9.273360242711536,10,133,133.17456955120193,9.273360242711536,0.9924812030075187,291.86681522977676,291.86681522977676,133,885.1346687233473,10,291.8668152297767,133.17456955120193,0.9924812030075187,885.1346687233473
222.37798357449128,149445,-44.334733140760434,11,194,64.15182963387838,-44.334733140760434,1.0,222.37798357449128,222.37798357449128,194,383.0066750086528,11,222.37798357449128,64.15182963387838,1.0,383.0066750086528
300.3462814814657,157307,0.11540099599588372,12,163,76.85855915910604,0.11540099599588372,1.0,300.34628148146567,300.34628148146567,163,582.2716329452737,12,300.3462814814657,76.85855915910604,1.0,582.2716329452737
315.5422451177712,164948,-10.986007350624176,13,157,80.5615010303731,-10.986007350624176,1.0,315.5422451177712,315.5422451177712,157,582.9392142576604,13,315.5422451177712,80.5615010303731,1.0,582.9392142576604
324.2583855492594,172898,-36.925432747860214,14,160,88.4852636575468,-36.925432747860214,1.0,324.2583855492594,324.2583855492594,160,508.5738068571607,14,324.2583855492594,88.4852636575468,1.0,508.5738068571607
324.99645167320466,180845,10.096622708288772,15,161,99.30135729335248,10.096622708288772,1.0,324.99645167320466,324.99645167320466,161,660.304924319643,15,324.99645167320466,99.30135729335248,1.0,660.304924319643
276.6712305745863,188733,-46.51006630070151,16,162,103.09442593215223,-46.51006630070151,1.0,276.6712305745863,276.6712305745863,162,652.7690096859037,16,276.6712305745863,103.09442593215223,1.0,652.7690096859037
317.504024124551,196476,-26.43312168740231,17,162,94.48887165062725,-26.43312168740231,1.0,317.50402412455105,317.50402412455105,162,898.46070510302,17,317.504024124551,94.48887165062725,1.0,898.46070510302
312.90708591903496,204532,-23.744112311503507,18,169,93.85965838011188,-23.744112311503507,1.0,312.90708591903496,312.90708591903496,169,554.9798286895968,18,312.90708591903496,93.85965838011188,1.0,554.9798286895968
310.6674859917765,212469,13.920820934869278,19,160,102.88936699715076,13.920820934869278,1.0,310.6674859917765,310.6674859917765,160,740.4922409145773,19,310.6674859917765,102.88936699715076,1.0,740.4922409145773
314.34697227729686,220301,170.91952653506962,20,168,75.0797305164044,170.91952653506962,1.0,314.3469722772968,314.3469722772968,168,694.4428978802791,20,314.34697227729686,75.0797305164044,1.0,694.4428978802791
305.0870584805395,228087,-53.412957834877645,21,159,103.31469275886896,-53.412957834877645,1.0,305.0870584805395,305.0870584805395,159,578.3484038121362,21,305.0870584805395,103.31469275886896,1.0,578.3484038121362
320.7305259285741,235992,-10.131241201973062,22,151,125.88279990395058,-10.131241201973062,1.0,320.73052592857414,320.73052592857414,151,712.5284459486488,22,320.7305259285741,125.88279990395058,1.0,712.5284459486488
270.88325845993114,244105,2.354420884207318,23,175,81.30517464913423,2.354420884207318,1.0,270.88325845993114,270.88325845993114,175,609.9067497696054,23,270.88325845993114,81.30517464913423,1.0,609.9067497696054
332.302328659585,252044,-27.347204115809888,24,137,150.45985372359908,-27.347204115809888,0.9927007299270073,332.302328659585,332.302328659585,137,922.3948075083241,24,332.302328659585,150.45985372359908,0.9927007299270073,922.3948075083241
288.5999532486767,260295,-34.55053441931533,25,158,97.93376363139645,-34.55053441931533,1.0,288.5999532486766,288.5999532486766,158,583.4252407053001,25,288.5999532486767,97.93376363139645,1.0,583.4252407053001
261.4475593538774,268152,-125.68358234115685,26,147,146.4991527473248,-125.68358234115685,1.0,261.4475593538774,261.4475593538774,147,700.5278983636084,26,261.4475593538774,146.4991527473248,1.0,700.5278983636084
243.23738882332063,276979,-54.05936963003421,27,147,173.73819641211122,-54.05936963003421,1.0,243.23738882332069,243.23738882332069,147,682.3593557860562,27,243.23738882332063,173.73819641211122,1.0,682.3593557860562
