MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/NumEpisodes,TotalEnvSteps,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/AverageDiscountedReturn
4045.2739962605538,4747.349092077369,4045.273996260554,3338.4400412686755,0.0,3338.4400412686755,14,305.0882897505605,25,14,305.0882897505605,0.0,25,200000,4045.2739962605538,4747.349092077369,4045.273996260554
4161.032726377549,4774.501760803785,4161.032726377547,3655.7152600937693,0.0,3655.7152600937693,15,262.60182768050225,25,15,262.60182768050225,0.0,25,210000,4161.032726377549,4774.501760803785,4161.032726377547
4127.325391368025,4881.283024821771,4127.325391368025,1792.5901523982925,0.0,1792.5901523982925,16,684.3500578436491,25,16,684.3500578436491,0.0,25,220000,4127.325391368025,4881.283024821771,4127.325391368025
4212.663937480186,5175.683332987265,4212.663937480186,-449.17053938085525,0.0,-449.17053938085525,17,1019.4427602446252,25,17,1019.4427602446252,0.0,25,230000,4212.663937480186,5175.683332987265,4212.663937480186
4579.222624767981,5291.9357870913345,4579.222624767982,3059.452572702934,0.0,3059.452572702934,18,432.44198751108723,25,18,432.44198751108723,0.0,25,240000,4579.222624767981,5291.9357870913345,4579.222624767982
4848.152046393573,5349.549899542043,4848.152046393572,3952.6001750879514,0.0,3952.6001750879514,19,411.1944892803263,25,19,411.1944892803263,0.0,25,250000,4848.152046393573,5349.549899542043,4848.152046393572
4917.531441375237,5496.732271150899,4917.5314413752385,4183.159515725959,0.0,4183.159515725959,20,383.8932387828854,25,20,383.8932387828854,0.0,25,260000,4917.531441375237,5496.732271150899,4917.5314413752385
5141.849893324729,5753.979356554015,5141.849893324728,4165.582623138457,0.0,4165.582623138457,21,464.53876112214704,25,21,464.53876112214704,0.0,25,270000,5141.849893324729,5753.979356554015,5141.849893324728
4963.099150680424,5801.401774247969,4963.099150680424,1520.0483915582558,0.0,1520.0483915582558,22,846.4589346367703,25,22,846.4589346367703,0.0,25,280000,4963.099150680424,5801.401774247969,4963.099150680424
5236.751817311295,6061.00176318574,5236.751817311296,4309.557335642333,0.0,4309.557335642333,23,476.1429032663116,25,23,476.1429032663116,0.0,25,290000,5236.751817311295,6061.00176318574,5236.751817311296
5406.181081533971,6127.567621419543,5406.181081533971,4230.526703443201,0.0,4230.526703443201,24,579.1523725487729,25,24,579.1523725487729,0.0,25,300000,5406.181081533971,6127.567621419543,5406.181081533971
5298.336814250029,6253.183362771055,5298.336814250032,468.4762982970429,0.0,468.4762982970429,25,1103.3678525717428,25,25,1103.3678525717428,0.0,25,310000,5298.336814250029,6253.183362771055,5298.336814250032
5193.158519716294,6132.807310088668,5193.158519716294,1674.2169475610026,0.0,1674.2169475610026,26,1117.7289447539922,25,26,1117.7289447539922,0.0,25,320000,5193.158519716294,6132.807310088668,5193.158519716294
5535.117487135064,6467.441481058216,5535.117487135061,3241.4396233304788,0.0,3241.4396233304788,27,884.1058168165565,25,27,884.1058168165565,0.0,25,330000,5535.117487135064,6467.441481058216,5535.117487135061
