MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/MinReturn,TotalEnvSteps,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/MaxReturn
394.75466570231947,530.4375,1000.0,79.0,110256,10,394.75466570231947,10,16,530.4375,0.625,530.4375,79.0,16,530.4375,0.625,1000.0
0.0,1000.0,1000.0,1000.0,119965,11,0.0,11,8,1000.0,0.0,1000.0,1000.0,8,1000.0,0.0,1000.0
264.54051854189225,847.6363636363636,1000.0,248.0,130412,12,264.54051854189225,12,11,847.6363636363636,0.2727272727272727,847.6363636363636,248.0,11,847.6363636363636,0.2727272727272727,1000.0
318.2299963525004,799.8181818181819,1000.0,55.0,139852,13,318.2299963525004,13,11,799.8181818181819,0.45454545454545453,799.8181818181819,55.0,11,799.8181818181819,0.45454545454545453,1000.0
269.3291162119428,904.7777777777778,1000.0,143.0,150183,14,269.3291162119428,14,9,904.7777777777778,0.1111111111111111,904.7777777777778,143.0,9,904.7777777777778,0.1111111111111111,1000.0
375.3084194662068,705.4166666666666,1000.0,47.0,159898,15,375.3084194662068,15,12,705.4166666666666,0.4166666666666667,705.4166666666666,47.0,12,705.4166666666666,0.4166666666666667,1000.0
190.4474263995768,932.6666666666666,1000.0,394.0,171739,16,190.4474263995768,16,9,932.6666666666666,0.1111111111111111,932.6666666666666,394.0,9,932.6666666666666,0.1111111111111111,1000.0
204.66521443567297,918.5,1000.0,314.0,182559,17,204.66521443567297,17,10,918.5,0.3,918.5,314.0,10,918.5,0.3,1000.0
182.20911063939695,912.8,1000.0,446.0,192971,18,182.20911063939695,18,10,912.8,0.2,912.8,446.0,10,912.8,0.2,1000.0
406.1317793798243,566.6666666666666,1000.0,35.0,203661,19,406.1317793798243,19,15,566.6666666666666,0.6,566.6666666666666,35.0,15,566.6666666666666,0.6,1000.0
398.83594293268004,580.625,1000.0,54.0,215034,20,398.83594293268004,20,16,580.625,0.625,580.625,54.0,16,580.625,0.625,1000.0
422.3382641615604,554.625,1000.0,34.0,224459,21,422.3382641615604,21,16,554.625,0.5625,554.625,34.0,16,554.625,0.5625,1000.0
0.0,1000.0,1000.0,1000.0,235359,22,0.0,22,8,1000.0,0.0,1000.0,1000.0,8,1000.0,0.0,1000.0
405.0149971655298,689.9230769230769,1000.0,35.0,246513,23,405.0149971655298,23,13,689.9230769230769,0.5384615384615384,689.9230769230769,35.0,13,689.9230769230769,0.5384615384615384,1000.0
35.81619745310772,977.0,1000.0,907.0,257991,24,35.81619745310772,24,10,977.0,0.3,977.0,907.0,10,977.0,0.3,1000.0
322.20398775034147,780.0833333333334,1000.0,189.0,268382,25,322.20398775034147,25,12,780.0833333333334,0.3333333333333333,780.0833333333334,189.0,12,780.0833333333334,0.3333333333333333,1000.0
344.3501005307494,760.9090909090909,1000.0,114.0,277819,26,344.3501005307494,26,11,760.9090909090909,0.36363636363636365,760.9090909090909,114.0,11,760.9090909090909,0.36363636363636365,1000.0
284.28804055042485,867.1,1000.0,110.0,289189,27,284.28804055042485,27,10,867.1,0.2,867.1,110.0,10,867.1,0.2,1000.0
340.75503825145415,611.5625,1000.0,78.0,301155,28,340.75503825145415,28,16,611.5625,0.625,611.5625,78.0,16,611.5625,0.625,1000.0
0.0,1000.0,1000.0,1000.0,310989,29,0.0,29,8,1000.0,0.0,1000.0,1000.0,8,1000.0,0.0,1000.0
318.0134518468606,794.3333333333334,1000.0,106.0,322047,30,318.0134518468606,30,12,794.3333333333334,0.3333333333333333,794.3333333333334,106.0,12,794.3333333333334,0.3333333333333333,1000.0
403.1684777218718,619.5,1000.0,77.0,332354,31,403.1684777218718,31,14,619.5,0.5,619.5,77.0,14,619.5,0.5,1000.0
439.42905706583815,479.47058823529414,1000.0,26.0,342001,32,439.42905706583815,32,17,479.47058823529414,0.5882352941176471,479.47058823529414,26.0,17,479.47058823529414,0.5882352941176471,1000.0
279.5049046717019,856.0909090909091,1000.0,104.0,351110,33,279.5049046717019,33,11,856.0909090909091,0.2727272727272727,856.0909090909091,104.0,11,856.0909090909091,0.2727272727272727,1000.0
