MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/NumEpisodes,TotalEnvSteps,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/AverageReturn
488.7794078402757,791.584701873636,148.2493383607882,1322.0163320842826,1.0,117,461313,51,117,1322.0163320842826,791.5847018736359,1.0,51,791.584701873636,148.2493383607882,488.7794078402757,791.5847018736359
298.9658179026656,787.8085400137543,195.748246717575,1493.266110472185,1.0,115,471105,52,115,1493.266110472185,787.8085400137543,1.0,52,787.8085400137543,195.748246717575,298.9658179026656,787.8085400137543
546.0062483021386,833.598321240918,146.01443903860292,1341.4470180879653,1.0,110,478818,53,110,1341.4470180879653,833.5983212409182,1.0,53,833.598321240918,146.01443903860292,546.0062483021386,833.5983212409182
243.52279454306102,774.9626421867213,251.05630150038635,2267.0328799063545,1.0,117,487876,54,117,2267.0328799063545,774.9626421867212,1.0,54,774.9626421867213,251.05630150038635,243.52279454306102,774.9626421867212
243.27601871210612,850.7378483738888,287.74007379009913,2145.508047016027,1.0,110,497050,55,110,2145.508047016027,850.7378483738888,1.0,55,850.7378483738888,287.74007379009913,243.27601871210612,850.7378483738888
480.90297505737664,986.7001878432989,579.4790096107257,3275.6440206957705,0.9680851063829787,94,505928,56,94,3275.6440206957705,986.7001878432989,0.9680851063829787,56,986.7001878432989,579.4790096107257,480.90297505737664,986.7001878432989
244.15085197850678,741.996723451088,389.4183723822853,2410.552536644189,1.0,118,515879,57,118,2410.552536644189,741.9967234510879,1.0,57,741.996723451088,389.4183723822853,244.15085197850678,741.9967234510879
430.36443375220205,1094.1522307750995,531.0965167025242,3027.449319834839,0.9876543209876543,81,524075,58,81,3027.449319834839,1094.1522307750995,0.9876543209876543,58,1094.1522307750995,531.0965167025242,430.36443375220205,1094.1522307750995
350.75258604102777,1193.6059614105598,565.5443525276455,3076.364947238217,1.0,84,534731,59,84,3076.364947238217,1193.6059614105598,1.0,59,1193.6059614105598,565.5443525276455,350.75258604102777,1193.6059614105598
290.2390133012304,1293.6903173657645,611.6213873433306,3313.106500475242,0.9743589743589743,78,544290,60,78,3313.106500475242,1293.6903173657643,0.9743589743589743,60,1293.6903173657645,611.6213873433306,290.2390133012304,1293.6903173657643
377.31815402119,1119.6865970882357,403.5850974697339,3074.9414426390745,1.0,88,552555,61,88,3074.9414426390745,1119.6865970882357,1.0,61,1119.6865970882357,403.5850974697339,377.31815402119,1119.6865970882357
472.69212303178955,1304.9076893687377,564.2115294018976,3004.8916257372935,0.9875,80,562957,62,80,3004.8916257372935,1304.9076893687375,0.9875,62,1304.9076893687377,564.2115294018976,472.69212303178955,1304.9076893687375
336.6639084647155,1425.7462204245658,764.2940590032265,3181.593121930783,0.9558823529411765,68,573179,63,68,3181.593121930783,1425.7462204245653,0.9558823529411765,63,1425.7462204245658,764.2940590032265,336.6639084647155,1425.7462204245653
481.99193819244704,1266.3352779837246,697.3070918542606,3289.1533203074237,0.9466666666666667,75,582666,64,75,3289.1533203074237,1266.3352779837246,0.9466666666666667,64,1266.3352779837246,697.3070918542606,481.99193819244704,1266.3352779837246
364.2359463960518,1645.9941800954232,905.4517760693185,3217.9049295139494,0.85,60,592966,65,60,3217.9049295139494,1645.994180095423,0.85,65,1645.9941800954232,905.4517760693185,364.2359463960518,1645.994180095423
129.35506310378278,709.218605044704,428.39622032368334,3037.614754711599,0.991869918699187,123,602692,66,123,3037.614754711599,709.218605044704,0.991869918699187,66,709.218605044704,428.39622032368334,129.35506310378278,709.218605044704
709.808083902744,1707.8632880115294,864.1389100350774,3210.3190919218277,0.85,60,612470,67,60,3210.3190919218277,1707.8632880115294,0.85,67,1707.8632880115294,864.1389100350774,709.808083902744,1707.8632880115294
86.38231262849202,1350.556893199611,824.1317425170054,3209.6294082077197,0.8780487804878049,82,623922,68,82,3209.6294082077197,1350.556893199611,0.8780487804878049,68,1350.556893199611,824.1317425170054,86.38231262849202,1350.556893199611
75.23579608555457,1120.5720089217398,836.2094247024118,3311.8214818681226,0.9318181818181818,88,633029,69,88,3311.8214818681226,1120.5720089217396,0.9318181818181818,69,1120.5720089217398,836.2094247024118,75.23579608555457,1120.5720089217396
109.25077652471293,932.207349039867,303.89990969452174,2142.733443322752,1.0,102,643215,70,102,2142.733443322752,932.2073490398667,1.0,70,932.207349039867,303.89990969452174,109.25077652471293,932.2073490398667
74.45847662818288,904.6133385746757,492.7879411717365,3267.462728323894,0.9722222222222222,108,651581,71,108,3267.462728323894,904.6133385746756,0.9722222222222222,71,904.6133385746757,492.7879411717365,74.45847662818288,904.6133385746756
628.4921646617571,1031.5472747155134,303.3229685201468,2115.8544560119835,1.0,94,660604,72,94,2115.8544560119835,1031.5472747155134,1.0,72,1031.5472747155134,303.3229685201468,628.4921646617571,1031.5472747155134
15.658930294286483,614.9003861710169,219.7235238436571,973.4506416935559,1.0,145,671165,73,145,973.4506416935559,614.9003861710169,1.0,73,614.9003861710169,219.7235238436571,15.658930294286483,614.9003861710169
39.462001853505754,715.8631764736115,267.4259318185754,1675.7344519914109,1.0,125,680905,74,125,1675.7344519914109,715.8631764736115,1.0,74,715.8631764736115,267.4259318185754,39.462001853505754,715.8631764736115
38.69807306432401,508.01211233915706,200.4907108072623,1018.5294217067706,1.0,166,691528,75,166,1018.5294217067706,508.0121123391571,1.0,75,508.01211233915706,200.4907108072623,38.69807306432401,508.0121123391571
34.89230082762661,542.3349984891601,178.7857013937116,875.1789930871003,1.0,154,700183,76,154,875.1789930871003,542.3349984891601,1.0,76,542.3349984891601,178.7857013937116,34.89230082762661,542.3349984891601
350.771014885699,713.8140926793448,168.5573346963818,1549.0565296685215,1.0,130,709990,77,130,1549.0565296685215,713.8140926793448,1.0,77,713.8140926793448,168.5573346963818,350.771014885699,713.8140926793448
390.0009079513261,713.0213113820008,143.970493236388,1124.509001896348,1.0,130,718723,78,130,1124.509001896348,713.0213113820008,1.0,78,713.0213113820008,143.970493236388,390.0009079513261,713.0213113820008
244.6892820348638,598.284116091369,106.09125726380363,950.6056649773284,1.0,148,729424,79,148,950.6056649773284,598.284116091369,1.0,79,598.284116091369,106.09125726380363,244.6892820348638,598.284116091369
551.444656975441,781.3730030452491,157.9078172408895,1637.4214988506114,1.0,115,737472,80,115,1637.4214988506114,781.3730030452492,1.0,80,781.3730030452491,157.9078172408895,551.444656975441,781.3730030452492
