MetaTest/Average/Iteration,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn
35,35,625.0588235294117,378219,352.25650256399234,17,625.0588235294117,17,625.0588235294117,352.25650256399234,0.6470588235294118,0.6470588235294118,1000.0,625.0588235294117,115.0,1000.0,115.0
36,36,954.3333333333334,388420,129.16483869674266,9,954.3333333333334,9,954.3333333333334,129.16483869674266,0.1111111111111111,0.1111111111111111,1000.0,954.3333333333334,589.0,1000.0,589.0
37,37,921.0,399299,223.44574285494903,9,921.0,9,921.0,223.44574285494903,0.1111111111111111,0.1111111111111111,1000.0,921.0,289.0,1000.0,289.0
38,38,685.6923076923077,410119,390.27670353922457,13,685.6923076923077,13,685.6923076923077,390.27670353922457,0.5384615384615384,0.5384615384615384,1000.0,685.6923076923077,63.0,1000.0,63.0
39,39,691.3571428571429,421351,351.50809930576423,14,691.3571428571429,14,691.3571428571429,351.50809930576423,0.5,0.5,1000.0,691.3571428571429,90.0,1000.0,90.0
40,40,1000.0,431839,0.0,8,1000.0,8,1000.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0
41,41,860.2,442922,236.19686704103424,10,860.2,10,860.2,236.19686704103424,0.3,0.3,1000.0,860.2,279.0,1000.0,279.0
42,42,734.3846153846154,452889,346.9636510470931,13,734.3846153846154,13,734.3846153846154,346.9636510470931,0.38461538461538464,0.38461538461538464,1000.0,734.3846153846154,113.0,1000.0,113.0
43,43,721.7857142857143,463735,344.83726567167645,14,721.7857142857143,14,721.7857142857143,344.83726567167645,0.5714285714285714,0.5714285714285714,1000.0,721.7857142857143,75.0,1000.0,75.0
44,44,861.4545454545455,475735,237.66453196063165,11,861.4545454545455,11,861.4545454545455,237.66453196063165,0.36363636363636365,0.36363636363636365,1000.0,861.4545454545455,304.0,1000.0,304.0
45,45,792.8333333333334,486010,244.46602808752158,12,792.8333333333334,12,792.8333333333334,244.46602808752158,0.5,0.5,1000.0,792.8333333333334,347.0,1000.0,347.0
46,46,694.0714285714286,495791,294.0025423324757,14,694.0714285714286,14,694.0714285714286,294.0025423324757,0.6428571428571429,0.6428571428571429,1000.0,694.0714285714286,207.0,1000.0,207.0
47,47,668.7857142857143,507771,375.3157106398042,14,668.7857142857143,14,668.7857142857143,375.3157106398042,0.5,0.5,1000.0,668.7857142857143,15.0,1000.0,15.0
48,48,751.8333333333334,518798,323.2098991195797,12,751.8333333333334,12,751.8333333333334,323.2098991195797,0.5,0.5,1000.0,751.8333333333334,69.0,1000.0,69.0
49,49,568.1111111111111,528597,381.9492242125165,18,568.1111111111111,18,568.1111111111111,381.9492242125165,0.7222222222222222,0.7222222222222222,1000.0,568.1111111111111,41.0,1000.0,41.0
