MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/Iteration,TotalEnvSteps
378.23906909311967,772.4545454545455,47.0,11,378.23906909311967,772.4545454545455,14,772.4545454545455,1000.0,0.2727272727272727,772.4545454545455,1000.0,11,0.2727272727272727,47.0,14,151170
411.5432689550665,295.26666666666665,8.0,30,411.5432689550665,295.26666666666665,15,295.26666666666665,1000.0,0.7666666666666667,295.26666666666665,1000.0,30,0.7666666666666667,8.0,15,160672
302.74102823620524,774.8461538461538,90.0,13,302.74102823620524,774.8461538461538,16,774.8461538461538,1000.0,0.46153846153846156,774.8461538461538,1000.0,13,0.46153846153846156,90.0,16,171167
0.0,1000.0,1000.0,8,0.0,1000.0,17,1000.0,1000.0,0.0,1000.0,1000.0,8,0.0,1000.0,17,182072
350.3519586044285,706.0714285714286,27.0,14,350.3519586044285,706.0714285714286,18,706.0714285714286,1000.0,0.5714285714285714,706.0714285714286,1000.0,14,0.5714285714285714,27.0,18,192383
261.95600726971753,133.9672131147541,7.0,61,261.95600726971753,133.9672131147541,19,133.9672131147541,1000.0,0.9180327868852459,133.9672131147541,1000.0,61,0.9180327868852459,7.0,19,203253
422.17789261208435,516.0588235294117,11.0,17,422.17789261208435,516.0588235294117,20,516.0588235294117,1000.0,0.5882352941176471,516.0588235294117,1000.0,17,0.5882352941176471,11.0,20,213504
241.77311678513806,870.4,282.0,10,241.77311678513806,870.4,21,870.4,1000.0,0.3,870.4,1000.0,10,0.3,282.0,21,223504
258.7223215523189,881.8181818181819,176.0,11,258.7223215523189,881.8181818181819,22,881.8181818181819,1000.0,0.2727272727272727,881.8181818181819,1000.0,11,0.2727272727272727,176.0,22,234754
266.5777372550079,867.1,290.0,10,266.5777372550079,867.1,23,867.1,1000.0,0.2,867.1,1000.0,10,0.2,290.0,23,244106
224.23344977946533,920.6,249.0,10,224.23344977946533,920.6,24,920.6,1000.0,0.2,920.6,1000.0,10,0.2,249.0,24,255562
390.41546566147247,451.04761904761904,9.0,21,390.41546566147247,451.04761904761904,25,451.04761904761904,1000.0,0.7619047619047619,451.04761904761904,1000.0,21,0.7619047619047619,9.0,25,267006
352.16179377394536,682.3846153846154,184.0,13,352.16179377394536,682.3846153846154,26,682.3846153846154,1000.0,0.46153846153846156,682.3846153846154,1000.0,13,0.46153846153846156,184.0,26,277901
327.93406122681057,197.74418604651163,6.0,43,327.93406122681057,197.74418604651163,27,197.74418604651163,1000.0,0.8604651162790697,197.74418604651163,1000.0,43,0.8604651162790697,6.0,27,287878
437.2739970275551,437.63157894736844,8.0,19,437.2739970275551,437.63157894736844,28,437.63157894736844,1000.0,0.631578947368421,437.63157894736844,1000.0,19,0.631578947368421,8.0,28,299058
391.1008322279406,394.82142857142856,10.0,28,391.1008322279406,394.82142857142856,29,394.82142857142856,1000.0,0.8571428571428571,394.82142857142856,1000.0,28,0.8571428571428571,10.0,29,309654
448.493572278355,500.875,9.0,16,448.493572278355,500.875,30,500.875,1000.0,0.5625,500.875,1000.0,16,0.5625,9.0,30,320991
402.53289168574645,601.9333333333333,22.0,15,402.53289168574645,601.9333333333333,31,601.9333333333333,1000.0,0.5333333333333333,601.9333333333333,1000.0,15,0.5333333333333333,22.0,31,331642
373.63924315262796,682.8461538461538,89.0,13,373.63924315262796,682.8461538461538,32,682.8461538461538,1000.0,0.46153846153846156,682.8461538461538,1000.0,13,0.46153846153846156,89.0,32,341668
