MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageDiscountedReturn
166,186.22956109481484,166,186.22956109481484,48.0472199006414,335.1649123434514,1165.5814927632653,335.1649123434514,1165.5814927632653,335.1649123434515,46,1.0,48.0472199006414,439444,1.0,46,335.1649123434515
162,160.44998034372318,162,160.44998034372318,64.53602016531767,326.1163704320032,1367.2096605866884,326.1163704320032,1367.2096605866884,326.1163704320032,47,1.0,64.53602016531767,448380,1.0,47,326.1163704320032
141,207.2122826768547,141,207.2122826768547,65.45482249473156,385.7529573024163,1312.0100515735949,385.7529573024163,1312.0100515735949,385.7529573024163,48,0.9929078014184397,65.45482249473156,457273,0.9929078014184397,48,385.7529573024163
131,274.04753143686776,131,274.04753143686776,22.594547795634117,431.4189077801908,1459.473611564174,431.4189077801908,1459.473611564174,431.4189077801909,49,0.9770992366412213,22.594547795634117,465856,0.9770992366412213,49,431.4189077801909
117,330.5004559237356,117,330.5004559237356,37.12428073161377,504.86083234192193,1637.3888433195377,504.86083234192193,1637.3888433195377,504.86083234192193,50,0.9914529914529915,37.12428073161377,474647,0.9914529914529915,50,504.86083234192193
103,317.402775766355,103,317.402775766355,57.99401685019908,557.395351017431,1720.307448982318,557.395351017431,1720.307448982318,557.395351017431,51,0.9805825242718447,57.99401685019908,483745,0.9805825242718447,51,557.395351017431
83,357.34398342959605,83,357.34398342959605,77.311138782375,628.3089000810821,1798.745194040146,628.3089000810821,1798.745194040146,628.3089000810822,52,0.9518072289156626,77.311138782375,494048,0.9518072289156626,52,628.3089000810822
102,318.4689669482344,102,318.4689669482344,20.038850728667263,494.4752987691961,1388.8806565057598,494.4752987691961,1388.8806565057598,494.4752987691961,53,0.9901960784313726,20.038850728667263,503443,0.9901960784313726,53,494.4752987691961
86,411.80479450263357,86,411.80479450263357,86.14334192251467,708.2869179979414,1918.2681086593016,708.2869179979414,1918.2681086593016,708.2869179979416,54,0.9883720930232558,86.14334192251467,513958,0.9883720930232558,54,708.2869179979416
78,426.6647530327019,78,426.6647530327019,54.06959809775205,775.7113344999536,1914.0837745563995,775.7113344999536,1914.0837745563995,775.7113344999534,55,0.9358974358974359,54.06959809775205,522749,0.9358974358974359,55,775.7113344999534
72,434.029959845383,72,434.029959845383,81.06348515792355,704.1165505882294,1804.229583229573,704.1165505882294,1804.229583229573,704.1165505882292,56,0.875,81.06348515792355,533195,0.875,56,704.1165505882292
74,498.35075115009835,74,498.35075115009835,61.626950111009215,702.154084511977,1709.7062738020502,702.154084511977,1709.7062738020502,702.1540845119771,57,0.8513513513513513,61.626950111009215,542586,0.8513513513513513,57,702.1540845119771
113,429.0507059938244,113,429.0507059938244,46.90600988369308,460.8097907303596,1795.9019353294727,460.8097907303596,1795.9019353294727,460.8097907303597,58,0.9380530973451328,46.90600988369308,551550,0.9380530973451328,58,460.8097907303597
113,242.59796032310797,113,242.59796032310797,28.87645673766657,427.58601188345597,1336.669848191042,427.58601188345597,1336.669848191042,427.58601188345597,59,1.0,28.87645673766657,561199,1.0,59,427.58601188345597
155,310.6154983028137,155,310.6154983028137,49.1942212799082,304.2222690575164,1870.9106157476683,304.2222690575164,1870.9106157476683,304.2222690575165,60,0.9935483870967742,49.1942212799082,570360,0.9935483870967742,60,304.2222690575165
149,351.2873658617004,149,351.2873658617004,48.448112355650515,298.37139357148516,1872.1838294644103,298.37139357148516,1872.1838294644103,298.37139357148516,61,0.9865771812080537,48.448112355650515,578864,0.9865771812080537,61,298.37139357148516
91,457.24257933174977,91,457.24257933174977,39.78897999774699,629.2401382122124,1915.9339238298187,629.2401382122124,1915.9339238298187,629.2401382122125,62,0.945054945054945,39.78897999774699,587307,0.945054945054945,62,629.2401382122125
89,424.2837486086224,89,424.2837486086224,-7.26378584859977,644.6612640451865,1915.4092463904017,644.6612640451865,1915.4092463904017,644.6612640451866,63,1.0,-7.26378584859977,596673,1.0,63,644.6612640451866
87,527.5316709992815,87,527.5316709992815,112.65590681984423,747.1451234043822,2239.763703814562,747.1451234043822,2239.763703814562,747.1451234043823,64,0.9655172413793104,112.65590681984423,606187,0.9655172413793104,64,747.1451234043823
96,438.2299977749322,96,438.2299977749322,43.85552190923312,596.464887820718,2153.6818541709663,596.464887820718,2153.6818541709663,596.464887820718,65,0.9895833333333334,43.85552190923312,615387,0.9895833333333334,65,596.464887820718
82,632.8994717003609,82,632.8994717003609,80.58815316152115,859.9462303589332,2799.4895183329504,859.9462303589332,2799.4895183329504,859.9462303589335,66,0.9878048780487805,80.58815316152115,624086,0.9878048780487805,66,859.9462303589335
79,649.2095006716613,79,649.2095006716613,131.49030524177158,907.9306242823851,2477.7254890336903,907.9306242823851,2477.7254890336903,907.9306242823849,67,0.8860759493670886,131.49030524177158,633995,0.8860759493670886,67,907.9306242823849
78,555.0817909897557,78,555.0817909897557,-1.3875782236689163,704.2766030144553,2412.452823565109,704.2766030144553,2412.452823565109,704.2766030144553,68,0.9615384615384616,-1.3875782236689163,644639,0.9615384615384616,68,704.2766030144553
74,702.4867907899347,74,702.4867907899347,-11.574401444463968,906.8694056070768,2788.4053291980613,906.8694056070768,2788.4053291980613,906.8694056070766,69,0.9459459459459459,-11.574401444463968,654323,0.9459459459459459,69,906.8694056070766
