MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/AverageDiscountedReturn
124,1.0,60.751409055913975,1001.5155042867136,90,763.7474554913153,124,90,60.751409055913975,1.0,837113,631.3726447008738,1001.5155042867136,631.3726447008738,763.747455491315,763.7474554913153,763.747455491315
122,1.0,129.5245563472835,1603.9369781917774,91,778.023509799586,122,91,129.5245563472835,1.0,847331,82.49536762320595,1603.9369781917774,82.49536762320595,778.0235097995859,778.023509799586,778.0235097995859
132,1.0,139.26010435347388,1195.6783519739304,92,724.4359623711562,132,92,139.26010435347388,1.0,857984,75.41664405503955,1195.6783519739304,75.41664405503955,724.4359623711562,724.4359623711562,724.4359623711562
128,1.0,84.77768801856628,981.9967581877128,93,715.8862319992911,128,93,84.77768801856628,1.0,866548,530.6722288416148,981.9967581877128,530.6722288416148,715.8862319992909,715.8862319992911,715.8862319992909
139,1.0,158.18950935358254,951.1280083088824,94,677.3603306726413,139,94,158.18950935358254,1.0,875888,35.69896857892959,951.1280083088824,35.69896857892959,677.3603306726413,677.3603306726413,677.3603306726413
130,1.0,128.07713583284936,1093.5192140828403,95,725.0140082110561,130,95,128.07713583284936,1.0,886130,85.21481385728124,1093.5192140828403,85.21481385728124,725.0140082110562,725.0140082110561,725.0140082110562
130,1.0,133.82754993709412,1335.7345575133363,96,719.7465541292265,130,96,133.82754993709412,1.0,896767,362.63149321279224,1335.7345575133363,362.63149321279224,719.7465541292264,719.7465541292265,719.7465541292264
122,1.0,148.21196588938668,1679.3589793791755,97,802.5093215068232,122,97,148.21196588938668,1.0,907633,572.3823295276902,1679.3589793791755,572.3823295276902,802.5093215068232,802.5093215068232,802.5093215068232
122,1.0,114.19842253794582,1193.9455258655482,98,768.7051288192416,122,98,114.19842253794582,1.0,917042,498.13022287234594,1193.9455258655482,498.13022287234594,768.7051288192416,768.7051288192416,768.7051288192416
131,1.0,114.61874360867934,1076.7518013535544,99,707.6915709930596,131,99,114.61874360867934,1.0,927252,70.914233996662,1076.7518013535544,70.914233996662,707.6915709930596,707.6915709930596,707.6915709930596
127,1.0,171.78730961353668,1347.5599786777093,100,741.314876225599,127,100,171.78730961353668,1.0,937213,125.75573331988299,1347.5599786777093,125.75573331988299,741.3148762255989,741.314876225599,741.3148762255989
