TotalEnvSteps,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/TerminationRate
438885,29.0,892.1111111111111,305.15585979206116,42,0.1111111111111111,1000.0,9,305.15585979206116,1000.0,892.1111111111111,29.0,42,892.1111111111111,9,892.1111111111111,0.1111111111111111
449893,410.0,776.5454545454545,248.62654127183077,43,0.45454545454545453,1000.0,11,248.62654127183077,1000.0,776.5454545454545,410.0,43,776.5454545454545,11,776.5454545454545,0.45454545454545453
460451,248.0,855.7,288.9221521448295,44,0.2,1000.0,10,288.9221521448295,1000.0,855.7,248.0,44,855.7,10,855.7,0.2
471734,268.0,760.2307692307693,279.7394815087654,45,0.46153846153846156,1000.0,13,279.7394815087654,1000.0,760.2307692307693,268.0,45,760.2307692307693,13,760.2307692307693,0.46153846153846156
481295,179.0,843.2,314.0362399469208,46,0.2,1000.0,10,314.0362399469208,1000.0,843.2,179.0,46,843.2,10,843.2,0.2
492433,224.0,847.8,304.47390692799934,47,0.2,1000.0,10,304.47390692799934,1000.0,847.8,224.0,47,847.8,10,847.8,0.2
502333,80.0,777.6666666666666,295.8035196244667,48,0.4166666666666667,1000.0,12,295.8035196244667,1000.0,777.6666666666666,80.0,48,777.6666666666666,12,777.6666666666666,0.4166666666666667
512865,104.0,893.5,267.94672978038005,49,0.2,1000.0,10,267.94672978038005,1000.0,893.5,104.0,49,893.5,10,893.5,0.2
522937,107.0,900.7777777777778,280.6428247109275,50,0.1111111111111111,1000.0,9,280.6428247109275,1000.0,900.7777777777778,107.0,50,900.7777777777778,9,900.7777777777778,0.1111111111111111
534473,38.0,709.5833333333334,366.1341872258797,51,0.5,1000.0,12,366.1341872258797,1000.0,709.5833333333334,38.0,51,709.5833333333334,12,709.5833333333334,0.5
544757,378.0,930.8888888888889,195.4757412880145,52,0.1111111111111111,1000.0,9,195.4757412880145,1000.0,930.8888888888889,378.0,52,930.8888888888889,9,930.8888888888889,0.1111111111111111
556114,313.0,869.4,261.6421984313692,53,0.2,1000.0,10,261.6421984313692,1000.0,869.4,313.0,53,869.4,10,869.4,0.2
567399,46.0,708.9230769230769,380.98060954866327,54,0.46153846153846156,1000.0,13,380.98060954866327,1000.0,708.9230769230769,46.0,54,708.9230769230769,13,708.9230769230769,0.46153846153846156
576983,109.0,826.75,292.712066998726,55,0.4166666666666667,1000.0,12,292.712066998726,1000.0,826.75,109.0,55,826.75,12,826.75,0.4166666666666667
587074,78.0,897.5555555555555,289.75664544622083,56,0.1111111111111111,1000.0,9,289.75664544622083,1000.0,897.5555555555555,78.0,56,897.5555555555555,9,897.5555555555555,0.1111111111111111
598275,13.0,795.1818181818181,346.40014124021326,57,0.2727272727272727,1000.0,11,346.40014124021326,1000.0,795.1818181818181,13.0,57,795.1818181818181,11,795.1818181818181,0.2727272727272727
609244,95.0,706.0833333333334,354.2982402659595,58,0.5,1000.0,12,354.2982402659595,1000.0,706.0833333333334,95.0,58,706.0833333333334,12,706.0833333333334,0.5
620283,104.0,852.4,303.53886077403666,59,0.2,1000.0,10,303.53886077403666,1000.0,852.4,104.0,59,852.4,10,852.4,0.2
630447,1000.0,1000.0,0.0,60,0.0,1000.0,8,0.0,1000.0,1000.0,1000.0,60,1000.0,8,1000.0,0.0
640786,343.0,878.1,244.72370134500662,61,0.2,1000.0,10,244.72370134500662,1000.0,878.1,343.0,61,878.1,10,878.1,0.2
651203,1000.0,1000.0,0.0,62,0.0,1000.0,8,0.0,1000.0,1000.0,1000.0,62,1000.0,8,1000.0,0.0
661322,28.0,734.1666666666666,397.80707915046236,63,0.3333333333333333,1000.0,12,397.80707915046236,1000.0,734.1666666666666,28.0,63,734.1666666666666,12,734.1666666666666,0.3333333333333333
672218,71.0,517.2105263157895,351.1199493571465,64,0.7368421052631579,1000.0,19,351.1199493571465,1000.0,517.2105263157895,71.0,64,517.2105263157895,19,517.2105263157895,0.7368421052631579
683582,135.0,854.2,260.88418886548106,65,0.4,1000.0,10,260.88418886548106,1000.0,854.2,135.0,65,854.2,10,854.2,0.4
693068,1000.0,1000.0,0.0,66,0.0,1000.0,8,0.0,1000.0,1000.0,1000.0,66,1000.0,8,1000.0,0.0
702236,1000.0,1000.0,0.0,67,0.0,1000.0,8,0.0,1000.0,1000.0,1000.0,67,1000.0,8,1000.0,0.0
712947,365.0,875.4166666666666,217.54748843004884,68,0.4166666666666667,1000.0,12,217.54748843004884,1000.0,875.4166666666666,365.0,68,875.4166666666666,12,875.4166666666666,0.4166666666666667
723111,251.0,756.9285714285714,305.0846403133105,69,0.5,1000.0,14,305.0846403133105,1000.0,756.9285714285714,251.0,69,756.9285714285714,14,756.9285714285714,0.5
733482,830.0,974.8,54.10508294051493,70,0.2,1000.0,10,54.10508294051493,1000.0,974.8,830.0,70,974.8,10,974.8,0.2
743489,94.0,866.6,287.41336085853766,71,0.2,1000.0,10,287.41336085853766,1000.0,866.6,94.0,71,866.6,10,866.6,0.2
752370,232.0,862.1,278.0253405716824,72,0.2,1000.0,10,278.0253405716824,1000.0,862.1,232.0,72,862.1,10,862.1,0.2
763275,363.0,823.0,250.53470091713115,73,0.36363636363636365,1000.0,11,250.53470091713115,1000.0,823.0,363.0,73,823.0,11,823.0,0.36363636363636365
772225,164.0,807.1818181818181,303.63219920932994,74,0.36363636363636365,1000.0,11,303.63219920932994,1000.0,807.1818181818181,164.0,74,807.1818181818181,11,807.1818181818181,0.36363636363636365
783033,554.0,871.1,172.64556177324687,75,0.4,1000.0,10,172.64556177324687,1000.0,871.1,554.0,75,871.1,10,871.1,0.4
794859,50.0,840.8,292.9203987434129,76,0.3,1000.0,10,292.9203987434129,1000.0,840.8,50.0,76,840.8,10,840.8,0.3
