MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/AverageReturn,TotalEnvSteps,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/StdReturn
40,1000.0,29.0,40,1000.0,10,813.0,0.3,371.4921264306957,29.0,10,0.3,813.0,813.0,422243,813.0,371.4921264306957
41,1000.0,2.0,41,1000.0,482,16.809128630705395,0.9937759336099585,81.81938462797471,2.0,482,0.9937759336099585,16.809128630705395,16.809128630705395,432325,16.809128630705395,81.81938462797471
42,1000.0,2.0,42,1000.0,688,11.681686046511627,0.997093023255814,55.702924765130646,2.0,688,0.997093023255814,11.681686046511627,11.681686046511627,442737,11.681686046511627,55.702924765130646
43,1000.0,2.0,43,1000.0,760,11.860526315789473,0.9947368421052631,77.5975380763621,2.0,760,0.9947368421052631,11.860526315789473,11.860526315789473,453526,11.860526315789473,77.5975380763621
44,1000.0,14.0,44,1000.0,13,704.1538461538462,0.46153846153846156,367.71202071392065,14.0,13,0.46153846153846156,704.1538461538462,704.1538461538462,463691,704.1538461538462,367.71202071392065
45,1000.0,66.0,45,1000.0,13,654.8461538461538,0.5384615384615384,360.5674685939984,66.0,13,0.5384615384615384,654.8461538461538,654.8461538461538,473994,654.8461538461538,360.5674685939984
46,1000.0,46.0,46,1000.0,13,709.8461538461538,0.46153846153846156,384.3495696836102,46.0,13,0.46153846153846156,709.8461538461538,709.8461538461538,485723,709.8461538461538,384.3495696836102
47,1000.0,3.0,47,1000.0,66,142.56060606060606,0.9090909090909091,287.32755717957895,3.0,66,0.9090909090909091,142.56060606060606,142.56060606060606,497218,142.56060606060606,287.32755717957895
48,1000.0,8.0,48,1000.0,11,785.9090909090909,0.2727272727272727,366.7831795849508,8.0,11,0.2727272727272727,785.9090909090909,785.9090909090909,508518,785.9090909090909,366.7831795849508
49,1000.0,3.0,49,1000.0,62,137.38709677419354,0.9193548387096774,270.8155159965442,3.0,62,0.9193548387096774,137.38709677419354,137.38709677419354,518953,137.38709677419354,270.8155159965442
50,1000.0,3.0,50,1000.0,65,134.15384615384616,0.9076923076923077,281.2727792221653,3.0,65,0.9076923076923077,134.15384615384616,134.15384615384616,530708,134.15384615384616,281.2727792221653
51,1000.0,158.0,51,1000.0,13,705.4615384615385,0.5384615384615384,323.27759335726296,158.0,13,0.5384615384615384,705.4615384615385,705.4615384615385,540395,705.4615384615385,323.27759335726296
52,1000.0,14.0,52,1000.0,22,382.8636363636364,0.7272727272727273,422.6110715168204,14.0,22,0.7272727272727273,382.8636363636364,382.8636363636364,550591,382.8636363636364,422.6110715168204
53,1000.0,10.0,53,1000.0,13,751.3076923076923,0.38461538461538464,368.17269873616993,10.0,13,0.38461538461538464,751.3076923076923,751.3076923076923,561820,751.3076923076923,368.17269873616993
54,1000.0,321.0,54,1000.0,10,897.7,0.3,206.96765447769852,321.0,10,0.3,897.7,897.7,572673,897.7,206.96765447769852
55,1000.0,613.0,55,1000.0,10,932.3,0.3,123.0423097962648,613.0,10,0.3,932.3,932.3,583823,932.3,123.0423097962648
56,1000.0,291.0,56,1000.0,10,864.5,0.2,271.3658968993709,291.0,10,0.2,864.5,864.5,594487,864.5,271.3658968993709
57,1000.0,6.0,57,1000.0,37,279.9189189189189,0.8378378378378378,371.8886333138194,6.0,37,0.8378378378378378,279.9189189189189,279.9189189189189,606137,279.9189189189189,371.8886333138194
58,1000.0,13.0,58,1000.0,33,281.7878787878788,0.8787878787878788,304.9610762620279,13.0,33,0.8787878787878788,281.7878787878788,281.7878787878788,616769,281.7878787878788,304.9610762620279
59,1000.0,26.0,59,1000.0,30,316.06666666666666,0.8666666666666667,306.9566672277303,26.0,30,0.8666666666666667,316.06666666666666,316.06666666666666,627350,316.06666666666666,306.9566672277303
60,1000.0,2.0,60,1000.0,377,23.018567639257295,0.9920424403183024,102.35301773175595,2.0,377,0.9920424403183024,23.018567639257295,23.018567639257295,637269,23.018567639257295,102.35301773175595
61,1000.0,72.0,61,1000.0,12,703.3333333333334,0.3333333333333333,420.58933520583815,72.0,12,0.3333333333333333,703.3333333333334,703.3333333333334,648117,703.3333333333334,420.58933520583815
62,1000.0,2.0,62,1000.0,193,45.02590673575129,0.9689119170984456,177.59132322643956,2.0,193,0.9689119170984456,45.02590673575129,45.02590673575129,658037,45.02590673575129,177.59132322643956
63,1000.0,42.0,63,1000.0,16,685.125,0.625,311.3647127967458,42.0,16,0.625,685.125,685.125,668063,685.125,311.3647127967458
64,1000.0,5.0,64,1000.0,16,514.5625,0.5625,441.51726590672536,5.0,16,0.5625,514.5625,514.5625,678081,514.5625,441.51726590672536
65,1000.0,94.0,65,1000.0,17,625.1764705882352,0.5882352941176471,351.5907104598483,94.0,17,0.5882352941176471,625.1764705882352,625.1764705882352,689078,625.1764705882352,351.5907104598483
66,1000.0,43.0,66,1000.0,16,563.75,0.5625,433.31794043173426,43.0,16,0.5625,563.75,563.75,699078,563.75,433.31794043173426
67,1000.0,376.0,67,1000.0,9,891.5555555555555,0.2222222222222222,212.76962560536435,376.0,9,0.2222222222222222,891.5555555555555,891.5555555555555,708338,891.5555555555555,212.76962560536435
68,1000.0,10.0,68,1000.0,21,389.23809523809524,0.7142857142857143,400.7118552397786,10.0,21,0.7142857142857143,389.23809523809524,389.23809523809524,717969,389.23809523809524,400.7118552397786
69,1000.0,2.0,69,1000.0,355,24.52394366197183,0.9830985915492958,129.96925472272247,2.0,355,0.9830985915492958,24.52394366197183,24.52394366197183,728905,24.52394366197183,129.96925472272247
70,1000.0,2.0,70,1000.0,206,40.63592233009709,0.9757281553398058,155.23398709181296,2.0,206,0.9757281553398058,40.63592233009709,40.63592233009709,738905,40.63592233009709,155.23398709181296
71,1000.0,2.0,71,1000.0,209,43.20095693779904,0.9808612440191388,163.05113472456867,2.0,209,0.9808612440191388,43.20095693779904,43.20095693779904,749834,43.20095693779904,163.05113472456867
