MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn
1.0,297.1790327544785,349.51762358083295,654.6039933227172,121,654.6039933227172,382273,1777.9847759008583,654.6039933227172,121,1777.9847759008583,1.0,40,349.51762358083295,654.6039933227172,40,297.1790327544785
1.0,263.9248783080888,264.10658472956624,427.3981348776715,156,427.3981348776715,391685,1545.9547585928647,427.39813487767157,156,1545.9547585928647,1.0,41,264.10658472956624,427.39813487767157,41,263.9248783080888
1.0,291.73332986289336,403.7631990395039,633.4731736244861,121,633.4731736244861,399711,2500.3042873594854,633.4731736244861,121,2500.3042873594854,1.0,42,403.7631990395039,633.4731736244861,42,291.73332986289336
1.0,308.9211885392914,189.4203726454859,718.4497115028579,110,718.4497115028579,409118,1515.2066458070406,718.4497115028579,110,1515.2066458070406,1.0,43,189.4203726454859,718.4497115028579,43,308.9211885392914
1.0,361.8319662295716,198.7756429120817,751.3175848413458,110,751.3175848413458,418156,1838.1320525221502,751.3175848413458,110,1838.1320525221502,1.0,44,198.7756429120817,751.3175848413458,44,361.8319662295716
1.0,276.35059551059135,264.4857496042008,688.8980582627603,115,688.8980582627603,426846,1666.2846013658977,688.8980582627602,115,1666.2846013658977,1.0,45,264.4857496042008,688.8980582627602,45,276.35059551059135
1.0,216.36749404053748,177.8763972196507,629.1458801371479,133,629.1458801371479,434778,1226.6675174112177,629.1458801371479,133,1226.6675174112177,1.0,46,177.8763972196507,629.1458801371479,46,216.36749404053748
1.0,170.02273361690428,234.5367875617576,575.0783819556917,133,575.0783819556917,444566,1295.6738757984467,575.0783819556917,133,1295.6738757984467,1.0,47,234.5367875617576,575.0783819556917,47,170.02273361690428
1.0,300.191768882861,106.86242281846401,407.4581800010422,168,407.4581800010422,453077,926.4047600930668,407.4581800010422,168,926.4047600930668,1.0,48,106.86242281846401,407.4581800010422,48,300.191768882861
1.0,259.5262015308495,280.19798747013556,742.70584322317,113,742.70584322317,461691,1536.8880952508625,742.70584322317,113,1536.8880952508625,1.0,49,280.19798747013556,742.70584322317,49,259.5262015308495
1.0,290.83329401002743,325.4145447623553,736.1537463243158,108,736.1537463243158,470961,2012.9523851223973,736.1537463243155,108,2012.9523851223973,1.0,50,325.4145447623553,736.1537463243155,50,290.83329401002743
1.0,284.7015611649134,380.480954387578,831.8884903290219,102,831.8884903290219,479725,2506.552176480201,831.8884903290219,102,2506.552176480201,1.0,51,380.480954387578,831.8884903290219,51,284.7015611649134
1.0,243.6548784203975,469.4055812513744,970.8464696639126,94,970.8464696639126,487859,2519.430307198781,970.8464696639129,94,2519.430307198781,1.0,52,469.4055812513744,970.8464696639129,52,243.6548784203975
1.0,249.84463963660298,503.9618557256256,1014.8695651203132,93,1014.8695651203132,496027,2668.577191731514,1014.8695651203132,93,2668.577191731514,1.0,53,503.9618557256256,1014.8695651203132,53,249.84463963660298
1.0,247.85459485164634,361.38827468650516,715.6219269905395,115,715.6219269905395,504565,2110.318200712577,715.6219269905394,115,2110.318200712577,1.0,54,361.38827468650516,715.6219269905394,54,247.85459485164634
0.9920634920634921,183.68782275764858,421.8066358314931,602.6899015020036,126,602.6899015020036,512793,3017.056713546615,602.6899015020036,126,3017.056713546615,0.9920634920634921,55,421.8066358314931,602.6899015020036,55,183.68782275764858
1.0,69.5802137210285,531.5911557778265,875.7269966288213,100,875.7269966288213,522040,2561.944512026528,875.7269966288213,100,2561.944512026528,1.0,56,531.5911557778265,875.7269966288213,56,69.5802137210285
1.0,267.67024649106094,369.10510309521317,738.7143478455249,111,738.7143478455249,530183,1860.322711429413,738.7143478455249,111,1860.322711429413,1.0,57,369.10510309521317,738.7143478455249,57,267.67024649106094
1.0,54.987163827576225,403.07022255927336,840.1522552018536,100,840.1522552018536,538804,2146.1632346653987,840.1522552018536,100,2146.1632346653987,1.0,58,403.07022255927336,840.1522552018536,58,54.987163827576225
1.0,243.90154862284356,351.4372050476209,741.044104104833,114,741.044104104833,547282,2228.2003350391205,741.0441041048332,114,2228.2003350391205,1.0,59,351.4372050476209,741.0441041048332,59,243.90154862284356
1.0,253.16405330545246,325.1457531247007,774.6866948731534,107,774.6866948731534,555698,2082.4491328557747,774.6866948731534,107,2082.4491328557747,1.0,60,325.1457531247007,774.6866948731534,60,253.16405330545246
1.0,306.8848118237767,304.1443167860711,833.8706550511475,102,833.8706550511475,564389,1829.484346871125,833.8706550511477,102,1829.484346871125,1.0,61,304.1443167860711,833.8706550511477,61,306.8848118237767
1.0,502.49318124192126,483.397771987425,1058.2926024504818,84,1058.2926024504818,573040,2886.3919950945196,1058.292602450482,84,2886.3919950945196,1.0,62,483.397771987425,1058.292602450482,62,502.49318124192126
1.0,11.642144368313197,308.858101510952,724.2117996697632,120,724.2117996697632,581188,1716.5494243344647,724.2117996697632,120,1716.5494243344647,1.0,63,308.858101510952,724.2117996697632,63,11.642144368313197
1.0,47.04936811007476,407.1455032278626,882.2133947800398,100,882.2133947800398,589168,2144.6074383870728,882.2133947800398,100,2144.6074383870728,1.0,64,407.1455032278626,882.2133947800398,64,47.04936811007476
1.0,294.6593706083784,298.425865405999,805.7276087251151,104,805.7276087251151,597661,2319.4451185173293,805.7276087251151,104,2319.4451185173293,1.0,65,298.425865405999,805.7276087251151,65,294.6593706083784
0.9882352941176471,309.53645698509206,501.90941226990725,1054.940291915843,85,1054.940291915843,605863,3156.0796883751254,1054.9402919158433,85,3156.0796883751254,0.9882352941176471,66,501.90941226990725,1054.9402919158433,66,309.53645698509206
1.0,60.807877611714375,405.4138411479104,1001.7042166739325,89,1001.7042166739325,613654,2154.1718907482414,1001.7042166739325,89,2154.1718907482414,1.0,67,405.4138411479104,1001.7042166739325,67,60.807877611714375
