TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/StdReturn
490000,7473.835321236036,9041.376846316574,7473.835321236035,919.1763260026746,25,919.1763260026746,25,1505.6203834919345,43,7473.835321236035,43,7473.835321236036,0.0,9041.376846316574,0.0,1505.6203834919345
500000,7946.382209250303,9399.17924440783,7946.382209250303,2611.093659679211,25,2611.093659679211,25,1242.5686906826159,44,7946.382209250303,44,7946.382209250303,0.0,9399.17924440783,0.0,1242.5686906826159
510000,8056.232126822542,9273.728645580848,8056.232126822542,6316.207144879389,25,6316.207144879389,25,778.9535640586479,45,8056.232126822542,45,8056.232126822542,0.0,9273.728645580848,0.0,778.9535640586479
520000,7576.873902896181,8888.56086653258,7576.873902896177,6387.58183947758,25,6387.58183947758,25,671.5866993333719,46,7576.873902896177,46,7576.873902896181,0.0,8888.56086653258,0.0,671.5866993333719
530000,8003.988810739009,9473.195836423329,8003.98881073901,6603.165507070805,25,6603.165507070805,25,717.1413497823405,47,8003.98881073901,47,8003.988810739009,0.0,9473.195836423329,0.0,717.1413497823405
540000,8372.682364495855,9820.362549877118,8372.68236449585,6603.242469584406,25,6603.242469584406,25,785.637836583096,48,8372.68236449585,48,8372.682364495855,0.0,9820.362549877118,0.0,785.637836583096
550000,7756.952235673292,9435.624849706082,7756.952235673292,6365.5183828200325,25,6365.5183828200325,25,839.2188317273627,49,7756.952235673292,49,7756.952235673292,0.0,9435.624849706082,0.0,839.2188317273627
560000,7997.598139690956,10052.917371599946,7997.598139690952,6906.429784909504,25,6906.429784909504,25,704.2734655476627,50,7997.598139690952,50,7997.598139690956,0.0,10052.917371599946,0.0,704.2734655476627
570000,8374.787075504246,9899.391710878179,8374.787075504244,6648.75129419189,25,6648.75129419189,25,790.8732940624242,51,8374.787075504244,51,8374.787075504246,0.0,9899.391710878179,0.0,790.8732940624242
580000,8498.400293327357,9997.149380395253,8498.400293327359,6682.554702719838,25,6682.554702719838,25,814.6298538946887,52,8498.400293327359,52,8498.400293327357,0.0,9997.149380395253,0.0,814.6298538946887
590000,8094.867065583485,10064.315102513508,8094.867065583488,3576.0810296948243,25,3576.0810296948243,25,1264.1291886263712,53,8094.867065583488,53,8094.867065583485,0.0,10064.315102513508,0.0,1264.1291886263712
600000,8410.887057746455,9769.625937446395,8410.887057746457,6434.302059982837,25,6434.302059982837,25,869.2036790473543,54,8410.887057746457,54,8410.887057746455,0.0,9769.625937446395,0.0,869.2036790473543
610000,8395.27418600715,10006.762320945521,8395.27418600715,6615.474140519596,25,6615.474140519596,25,1159.738747329229,55,8395.27418600715,55,8395.27418600715,0.0,10006.762320945521,0.0,1159.738747329229
620000,8641.232848845684,10437.55832678365,8641.232848845682,6762.458289176855,25,6762.458289176855,25,970.3120608270796,56,8641.232848845682,56,8641.232848845684,0.0,10437.55832678365,0.0,970.3120608270796
