TotalEnvSteps,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageReturn
260000,2733.666983728535,25,955.8554165715939,25,0.0,487.9004531869975,20,2047.8589420617186,2733.666983728535,0.0,487.9004531869975,2047.8589420617177,955.8554165715939,20,2047.8589420617186,2047.8589420617177
270000,2975.5600302739304,25,717.8024213714765,25,0.0,675.2947441896988,21,2192.2915817334842,2975.5600302739304,0.0,675.2947441896988,2192.291581733483,717.8024213714765,21,2192.2915817334842,2192.291581733483
280000,3170.1721787819283,25,904.5395441038721,25,0.0,555.6912367666152,22,2536.733066341337,3170.1721787819283,0.0,555.6912367666152,2536.7330663413363,904.5395441038721,22,2536.733066341337,2536.7330663413363
290000,3500.0624882462425,25,698.7207637134909,25,0.0,759.8751407339042,23,2682.412961923245,3500.0624882462425,0.0,759.8751407339042,2682.412961923245,698.7207637134909,23,2682.412961923245,2682.412961923245
300000,3843.495595924192,25,1165.66863149541,25,0.0,539.4439651145696,24,3069.1369875114788,3843.495595924192,0.0,539.4439651145696,3069.1369875114797,1165.66863149541,24,3069.1369875114788,3069.1369875114797
310000,3991.5882145345445,25,1641.2333863651806,25,0.0,643.9497439389002,25,3130.7857084026373,3991.5882145345445,0.0,643.9497439389002,3130.7857084026355,1641.2333863651806,25,3130.7857084026373,3130.7857084026355
320000,4250.307716716381,25,1478.331657665361,25,0.0,521.8698385720073,26,3354.0591459675493,4250.307716716381,0.0,521.8698385720073,3354.05914596755,1478.331657665361,26,3354.0591459675493,3354.05914596755
330000,4332.139203067039,25,2433.041469297234,25,0.0,460.81697164836123,27,3492.6268442637897,4332.139203067039,0.0,460.81697164836123,3492.6268442637897,2433.041469297234,27,3492.6268442637897,3492.6268442637897
340000,4734.44904704523,25,375.6101981063575,25,0.0,783.9577885372327,28,3658.055640488355,4734.44904704523,0.0,783.9577885372327,3658.0556404883537,375.6101981063575,28,3658.055640488355,3658.0556404883537
350000,4629.826648478406,25,1077.266007175642,25,0.0,681.0953596052303,29,3736.860644667266,4629.826648478406,0.0,681.0953596052303,3736.8606446672666,1077.266007175642,29,3736.860644667266,3736.8606446672666
360000,4576.946139762735,25,2943.7375768553493,25,0.0,364.0829510270413,30,3742.262798776158,4576.946139762735,0.0,364.0829510270413,3742.2627987761575,2943.7375768553493,30,3742.262798776158,3742.2627987761575
370000,4866.4107273018035,25,1572.0053307587507,25,0.0,759.1157101623452,31,3938.555668407378,4866.4107273018035,0.0,759.1157101623452,3938.555668407379,1572.0053307587507,31,3938.555668407378,3938.555668407379
380000,4668.707191319719,25,3334.38388034508,25,0.0,367.6888766428026,32,3936.420209567527,4668.707191319719,0.0,367.6888766428026,3936.420209567528,3334.38388034508,32,3936.420209567527,3936.420209567528
390000,4935.612865520188,25,2375.230882343419,25,0.0,664.4530842164453,33,3992.1252987073217,4935.612865520188,0.0,664.4530842164453,3992.1252987073217,2375.230882343419,33,3992.1252987073217,3992.1252987073217
400000,5160.696338419534,25,982.7624747311934,25,0.0,855.8735744203491,34,4038.0264497399294,5160.696338419534,0.0,855.8735744203491,4038.0264497399303,982.7624747311934,34,4038.0264497399294,4038.0264497399303
410000,4977.509982646535,25,3630.578193284934,25,0.0,368.1110977072598,35,4263.241963415051,4977.509982646535,0.0,368.1110977072598,4263.241963415052,3630.578193284934,35,4263.241963415051,4263.241963415052
420000,5174.64374635819,25,2160.709528496791,25,0.0,602.2880980598104,36,4211.06136189241,5174.64374635819,0.0,602.2880980598104,4211.061361892412,2160.709528496791,36,4211.06136189241,4211.061361892412
430000,5358.443401136739,25,3685.9354407533137,25,0.0,452.668797245509,37,4417.622911486869,5358.443401136739,0.0,452.668797245509,4417.62291148687,3685.9354407533137,37,4417.622911486869,4417.62291148687
440000,5374.12129246848,25,3850.956018230232,25,0.0,466.07218958398187,38,4614.757470544664,5374.12129246848,0.0,466.07218958398187,4614.757470544662,3850.956018230232,38,4614.757470544664,4614.757470544662
450000,5695.724316284991,25,3922.9482766999245,25,0.0,520.4756710946713,39,4776.204353483552,5695.724316284991,0.0,520.4756710946713,4776.204353483553,3922.9482766999245,39,4776.204353483552,4776.204353483553
460000,5857.8010814181,25,4003.099572222331,25,0.0,558.9694088465233,40,4756.129219533191,5857.8010814181,0.0,558.9694088465233,4756.129219533188,4003.099572222331,40,4756.129219533191,4756.129219533188
470000,6112.514169269166,25,4172.883176324273,25,0.0,594.4115821519653,41,4998.979541772278,6112.514169269166,0.0,594.4115821519653,4998.979541772279,4172.883176324273,41,4998.979541772278,4998.979541772279
480000,6119.296594375897,25,4068.2554298680693,25,0.0,626.5115221529576,42,4991.416407974454,6119.296594375897,0.0,626.5115221529576,4991.416407974454,4068.2554298680693,42,4991.416407974454,4991.416407974454
490000,6075.314261634168,25,1266.7845903755933,25,0.0,917.2197722591793,43,4846.020282928131,6075.314261634168,0.0,917.2197722591793,4846.020282928134,1266.7845903755933,43,4846.020282928131,4846.020282928134
500000,6525.461720585628,25,4295.928550077581,25,0.0,587.4764893557093,44,5291.087973601421,6525.461720585628,0.0,587.4764893557093,5291.08797360142,4295.928550077581,44,5291.087973601421,5291.08797360142
510000,6299.462639869116,25,4444.700399278544,25,0.0,461.76725293576646,45,5238.756540437727,6299.462639869116,0.0,461.76725293576646,5238.7565404377265,4444.700399278544,45,5238.756540437727,5238.7565404377265
520000,6288.980648030334,25,4652.451572348521,25,0.0,431.2305545270467,46,5352.929364229861,6288.980648030334,0.0,431.2305545270467,5352.929364229862,4652.451572348521,46,5352.929364229861,5352.929364229862
530000,6619.115558849181,25,4512.692585073847,25,0.0,595.2266998749467,47,5563.357990767177,6619.115558849181,0.0,595.2266998749467,5563.357990767177,4512.692585073847,47,5563.357990767177,5563.357990767177
540000,6733.010540427143,25,4488.900831665412,25,0.0,648.9797108485651,48,5520.127794969088,6733.010540427143,0.0,648.9797108485651,5520.1277949690875,4488.900831665412,48,5520.127794969088,5520.1277949690875
550000,7097.721485194447,25,5047.723865783975,25,0.0,565.5905556390472,49,5857.698103121589,7097.721485194447,0.0,565.5905556390472,5857.698103121589,5047.723865783975,49,5857.698103121589,5857.698103121589
560000,6844.166870181295,25,4724.536219706833,25,0.0,630.3603575561393,50,5794.299394907104,6844.166870181295,0.0,630.3603575561393,5794.299394907104,4724.536219706833,50,5794.299394907104,5794.299394907104
570000,6878.1242571063385,25,4734.856746196753,25,0.0,587.2951795471739,51,5860.664469381936,6878.1242571063385,0.0,587.2951795471739,5860.664469381935,4734.856746196753,51,5860.664469381936,5860.664469381935
580000,7068.203956100039,25,4953.995971153899,25,0.0,548.3909480678087,52,6091.37157732563,7068.203956100039,0.0,548.3909480678087,6091.37157732563,4953.995971153899,52,6091.37157732563,6091.37157732563
590000,7362.801573916445,25,4799.8039368432,25,0.0,679.6234327214838,53,5893.546694515291,7362.801573916445,0.0,679.6234327214838,5893.54669451529,4799.8039368432,53,5893.546694515291,5893.54669451529
600000,7540.185982367553,25,4986.67903420883,25,0.0,568.152384173038,54,5982.889913970534,7540.185982367553,0.0,568.152384173038,5982.8899139705345,4986.67903420883,54,5982.889913970534,5982.8899139705345
610000,7854.273110423343,25,4852.093576548572,25,0.0,756.5171823632838,55,6205.371204231586,7854.273110423343,0.0,756.5171823632838,6205.371204231584,4852.093576548572,55,6205.371204231586,6205.371204231584
620000,7528.278282680709,25,4913.614225384213,25,0.0,775.4251448025097,56,6265.256562176443,7528.278282680709,0.0,775.4251448025097,6265.256562176444,4913.614225384213,56,6265.256562176443,6265.256562176444
630000,7464.866232542371,25,5104.073387797288,25,0.0,627.4542433232496,57,6247.96804699631,7464.866232542371,0.0,627.4542433232496,6247.968046996311,5104.073387797288,57,6247.96804699631,6247.968046996311
640000,7581.512287537756,25,5182.805270096567,25,0.0,643.5000316331108,58,6446.708862961161,7581.512287537756,0.0,643.5000316331108,6446.708862961161,5182.805270096567,58,6446.708862961161,6446.708862961161
650000,8046.212210823954,25,5198.921128387181,25,0.0,719.4903451280419,59,6568.170399103921,8046.212210823954,0.0,719.4903451280419,6568.170399103922,5198.921128387181,59,6568.170399103921,6568.170399103922
660000,7998.921199152123,25,5247.266876236165,25,0.0,747.0133972119033,60,6197.575209561237,7998.921199152123,0.0,747.0133972119033,6197.575209561235,5247.266876236165,60,6197.575209561237,6197.575209561235
670000,7669.818718882337,25,5779.240092779629,25,0.0,656.8579092211112,61,6496.702369067353,7669.818718882337,0.0,656.8579092211112,6496.702369067351,5779.240092779629,61,6496.702369067353,6496.702369067351
680000,7928.848772403437,25,5579.7335242187955,25,0.0,667.3281487450398,62,6769.9891254141085,7928.848772403437,0.0,667.3281487450398,6769.989125414108,5579.7335242187955,62,6769.9891254141085,6769.989125414108
690000,8084.270992678406,25,5518.333801140755,25,0.0,685.5429634915527,63,6660.370896199816,8084.270992678406,0.0,685.5429634915527,6660.3708961998145,5518.333801140755,63,6660.370896199816,6660.3708961998145
700000,8432.592258262483,25,5537.69934365384,25,0.0,703.9673462625396,64,6884.259604585942,8432.592258262483,0.0,703.9673462625396,6884.259604585939,5537.69934365384,64,6884.259604585942,6884.259604585939
710000,8389.807212717511,25,5569.580702953312,25,0.0,709.3635390057397,65,6814.719874792473,8389.807212717511,0.0,709.3635390057397,6814.719874792471,5569.580702953312,65,6814.719874792473,6814.719874792471
720000,8308.286272257868,25,5981.5579074633315,25,0.0,653.7337065289379,66,7197.172365123363,8308.286272257868,0.0,653.7337065289379,7197.172365123363,5981.5579074633315,66,7197.172365123363,7197.172365123363
730000,8760.863628697014,25,5484.944354343457,25,0.0,827.6449844227556,67,7072.2441209613335,8760.863628697014,0.0,827.6449844227556,7072.2441209613335,5484.944354343457,67,7072.2441209613335,7072.2441209613335
740000,9067.337504044488,25,5793.1630741291365,25,0.0,811.9774973473478,68,7116.732167089812,9067.337504044488,0.0,811.9774973473478,7116.73216708981,5793.1630741291365,68,7116.732167089812,7116.73216708981
750000,8475.999872020931,25,5662.91947244719,25,0.0,898.9704064997451,69,7206.069641521786,8475.999872020931,0.0,898.9704064997451,7206.0696415217835,5662.91947244719,69,7206.069641521786,7206.0696415217835
760000,8513.611904516523,25,4441.362791674808,25,0.0,1091.1397653877573,70,7061.76843512576,8513.611904516523,0.0,1091.1397653877573,7061.768435125758,4441.362791674808,70,7061.76843512576,7061.768435125758
770000,8974.978196866774,25,5878.943876134997,25,0.0,762.0321671129299,71,7203.674049171129,8974.978196866774,0.0,762.0321671129299,7203.67404917113,5878.943876134997,71,7203.674049171129,7203.67404917113
780000,8936.046363250449,25,6232.0286191538435,25,0.0,742.5038514928633,72,7695.554810278595,8936.046363250449,0.0,742.5038514928633,7695.554810278595,6232.0286191538435,72,7695.554810278595,7695.554810278595
790000,8670.963464453453,25,5659.521362368627,25,0.0,950.3854090908351,73,7228.025749391676,8670.963464453453,0.0,950.3854090908351,7228.025749391681,5659.521362368627,73,7228.025749391676,7228.025749391681
800000,9047.094086359995,25,1371.713275092663,25,0.0,1462.340016168009,74,7549.561650649956,9047.094086359995,0.0,1462.340016168009,7549.5616506499555,1371.713275092663,74,7549.561650649956,7549.5616506499555
810000,9094.920189022863,25,5938.840260244872,25,0.0,833.9865912485127,75,7873.715127475469,9094.920189022863,0.0,833.9865912485127,7873.71512747547,5938.840260244872,75,7873.715127475469,7873.71512747547
820000,9334.458452582168,25,6145.745061970205,25,0.0,985.5164859961628,76,7754.916225110801,9334.458452582168,0.0,985.5164859961628,7754.916225110799,6145.745061970205,76,7754.916225110801,7754.916225110799
830000,9491.082355194858,25,6092.032123476064,25,0.0,1082.790189651921,77,7866.271517106254,9491.082355194858,0.0,1082.790189651921,7866.271517106257,6092.032123476064,77,7866.271517106254,7866.271517106257
840000,9236.776176125832,25,6205.27196579315,25,0.0,805.3437204599537,78,7847.135680024957,9236.776176125832,0.0,805.3437204599537,7847.135680024956,6205.27196579315,78,7847.135680024957,7847.135680024956
850000,9819.647302999547,25,6328.727262721777,25,0.0,970.5161907032782,79,7923.040253491312,9819.647302999547,0.0,970.5161907032782,7923.0402534913155,6328.727262721777,79,7923.040253491312,7923.0402534913155
860000,9318.007510131856,25,6503.323477502909,25,0.0,910.343391187114,80,8100.628257054732,9318.007510131856,0.0,910.343391187114,8100.628257054732,6503.323477502909,80,8100.628257054732,8100.628257054732
870000,9523.212941552942,25,6277.993602289667,25,0.0,812.3732252810931,81,8089.8294197642335,9523.212941552942,0.0,812.3732252810931,8089.829419764236,6277.993602289667,81,8089.8294197642335,8089.829419764236
880000,9713.543663599385,25,6837.933810011342,25,0.0,940.7948459116943,82,8238.372525275508,9713.543663599385,0.0,940.7948459116943,8238.372525275507,6837.933810011342,82,8238.372525275508,8238.372525275507
