MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,TotalEnvSteps,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/TerminationRate
9,30,0.1111111111111111,9,909.0,181.0,257.3868683519033,909.0,257.3868683519033,1000.0,909.0,324107,181.0,1000.0,30,909.0,0.1111111111111111
9,31,0.1111111111111111,9,954.5555555555555,591.0,128.53629933568797,954.5555555555555,128.53629933568797,1000.0,954.5555555555555,334299,591.0,1000.0,31,954.5555555555555,0.1111111111111111
11,32,0.36363636363636365,11,842.4545454545455,363.0,250.06485109280374,842.4545454545455,250.06485109280374,1000.0,842.4545454545455,345334,363.0,1000.0,32,842.4545454545455,0.36363636363636365
8,33,0.0,8,1000.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,354289,1000.0,1000.0,33,1000.0,0.0
11,34,0.45454545454545453,11,782.8181818181819,179.0,308.7811281862396,782.8181818181819,308.7811281862396,1000.0,782.8181818181819,364310,179.0,1000.0,34,782.8181818181819,0.45454545454545453
9,35,0.1111111111111111,9,978.7777777777778,809.0,60.0255089807247,978.7777777777778,60.0255089807247,1000.0,978.7777777777778,375447,809.0,1000.0,35,978.7777777777778,0.1111111111111111
11,36,0.36363636363636365,11,843.4545454545455,398.0,221.19237354778414,843.4545454545455,221.19237354778414,1000.0,843.4545454545455,385229,398.0,1000.0,36,843.4545454545455,0.36363636363636365
9,37,0.1111111111111111,9,941.8888888888889,477.0,164.36304291580637,941.8888888888889,164.36304291580637,1000.0,941.8888888888889,395602,477.0,1000.0,37,941.8888888888889,0.1111111111111111
10,38,0.2,10,860.1,52.0,301.062269306534,860.1,301.062269306534,1000.0,860.1,406283,52.0,1000.0,38,860.1,0.2
13,39,0.38461538461538464,13,778.0769230769231,113.0,330.7389073756987,778.0769230769231,330.7389073756987,1000.0,778.0769230769231,415177,113.0,1000.0,39,778.0769230769231,0.38461538461538464
8,40,0.0,8,1000.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,425675,1000.0,1000.0,40,1000.0,0.0
10,41,0.2,10,858.3,272.0,283.534142564877,858.3,283.534142564877,1000.0,858.3,437035,272.0,1000.0,41,858.3,0.2
11,42,0.2727272727272727,11,874.3636363636364,53.0,287.4585417467021,874.3636363636364,287.4585417467021,1000.0,874.3636363636364,448259,53.0,1000.0,42,874.3636363636364,0.2727272727272727
9,43,0.1111111111111111,9,955.7777777777778,602.0,125.07933284988708,955.7777777777778,125.07933284988708,1000.0,955.7777777777778,459139,602.0,1000.0,43,955.7777777777778,0.1111111111111111
9,44,0.1111111111111111,9,994.0,946.0,16.97056274847714,994.0,16.97056274847714,1000.0,994.0,468853,946.0,1000.0,44,994.0,0.1111111111111111
8,45,0.0,8,1000.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,479764,1000.0,1000.0,45,1000.0,0.0
10,46,0.2,10,893.7,79.0,274.8468846467065,893.7,274.8468846467065,1000.0,893.7,491021,79.0,1000.0,46,893.7,0.2
9,47,0.1111111111111111,9,946.8888888888889,522.0,150.22090729207542,946.8888888888889,150.22090729207542,1000.0,946.8888888888889,501721,522.0,1000.0,47,946.8888888888889,0.1111111111111111
9,48,0.2222222222222222,9,912.2222222222222,422.0,185.49739607503196,912.2222222222222,185.49739607503196,1000.0,912.2222222222222,512418,422.0,1000.0,48,912.2222222222222,0.2222222222222222
12,49,0.3333333333333333,12,763.5833333333334,79.0,365.14459654894097,763.5833333333334,365.14459654894097,1000.0,763.5833333333334,521545,79.0,1000.0,49,763.5833333333334,0.3333333333333333
10,50,0.2,10,915.4,394.0,187.95329207013108,915.4,187.95329207013108,1000.0,915.4,532879,394.0,1000.0,50,915.4,0.2
11,51,0.36363636363636365,11,830.1818181818181,139.0,305.6738660675692,830.1818181818181,305.6738660675692,1000.0,830.1818181818181,543857,139.0,1000.0,51,830.1818181818181,0.36363636363636365
11,52,0.2727272727272727,11,832.0,249.0,278.83556575026927,832.0,278.83556575026927,1000.0,832.0,554725,249.0,1000.0,52,832.0,0.2727272727272727
10,53,0.3,10,845.1,420.0,238.05480461439967,845.1,238.05480461439967,1000.0,845.1,565784,420.0,1000.0,53,845.1,0.3
10,54,0.2,10,841.2,84.0,322.2523234982178,841.2,322.2523234982178,1000.0,841.2,575991,84.0,1000.0,54,841.2,0.2
10,55,0.2,10,922.8,309.0,206.02029026287678,922.8,206.02029026287678,1000.0,922.8,586218,309.0,1000.0,55,922.8,0.2
11,56,0.2727272727272727,11,778.3636363636364,142.0,362.8253455933842,778.3636363636364,362.8253455933842,1000.0,778.3636363636364,597937,142.0,1000.0,56,778.3636363636364,0.2727272727272727
10,57,0.2,10,892.5,105.0,267.9295616388755,892.5,267.9295616388755,1000.0,892.5,609093,105.0,1000.0,57,892.5,0.2
11,58,0.36363636363636365,11,774.0909090909091,238.0,305.14391673004945,774.0909090909091,305.14391673004945,1000.0,774.0909090909091,620425,238.0,1000.0,58,774.0909090909091,0.36363636363636365
8,59,0.0,8,1000.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,631033,1000.0,1000.0,59,1000.0,0.0
10,60,0.2,10,894.4,465.0,211.2231994833901,894.4,211.2231994833901,1000.0,894.4,641013,465.0,1000.0,60,894.4,0.2
