MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageReturn,TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/AverageDiscountedReturn
575.4010954123171,-25.628120336838524,17,162,86.62557519054924,575.4010954123171,1.0,17,162,-25.628120336838524,264.1914943546036,264.1914943546036,193186,264.1914943546036,1.0,86.62557519054924,264.1914943546036
658.5111342844228,72.46060051961918,18,177,98.55597353521365,658.5111342844228,1.0,18,177,72.46060051961918,287.0886920323405,287.0886920323405,201237,287.0886920323405,1.0,98.55597353521365,287.0886920323405
496.8977412572436,53.18869651312297,19,183,82.81100109884453,496.8977412572436,1.0,19,183,53.18869651312297,265.1227628198009,265.12276281980087,209100,265.12276281980087,1.0,82.81100109884453,265.1227628198009
641.4755830307589,17.6416122454806,20,169,96.25049395154883,641.4755830307589,1.0,20,169,17.6416122454806,304.4133179187472,304.4133179187472,216979,304.4133179187472,1.0,96.25049395154883,304.4133179187472
627.5195796769356,19.348301839439284,21,176,101.6844973053609,627.5195796769356,1.0,21,176,19.348301839439284,257.0376142072538,257.0376142072538,224950,257.0376142072538,1.0,101.6844973053609,257.0376142072538
606.1743148985697,25.672878682883365,22,173,90.87315637472607,606.1743148985697,1.0,22,173,25.672878682883365,258.38245071397097,258.382450713971,232792,258.382450713971,1.0,90.87315637472607,258.38245071397097
622.4386666776983,43.07906102030572,23,153,96.02753437937072,622.4386666776983,1.0,23,153,43.07906102030572,273.63645527312013,273.6364552731201,240707,273.6364552731201,1.0,96.02753437937072,273.63645527312013
576.3115333425504,-57.84166407573615,24,147,107.40546354534739,576.3115333425504,1.0,24,147,-57.84166407573615,274.3850869471704,274.3850869471704,249345,274.3850869471704,1.0,107.40546354534739,274.3850869471704
760.915120438848,-97.20960909626956,25,150,120.98885910255417,760.915120438848,1.0,25,150,-97.20960909626956,278.34233662755435,278.34233662755435,257376,278.34233662755435,1.0,120.98885910255417,278.34233662755435
650.1090366297831,-24.704172418786342,26,153,131.27597527655632,650.1090366297831,1.0,26,153,-24.704172418786342,262.86649398647455,262.8664939864746,265334,262.8664939864746,1.0,131.27597527655632,262.86649398647455
566.4606437195619,21.988961597285627,27,165,98.75701736473884,566.4606437195619,1.0,27,165,21.988961597285627,265.34412868465114,265.34412868465114,273434,265.34412868465114,1.0,98.75701736473884,265.34412868465114
